source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
SecureHomeNAV.esp,3E0054BE,00020DA8,UtilFreePipeSocket01,STAT,-61451.289062,-89277.523438,4297.874512,180.0000
SecureHomeNAV.esp,3E0054BA,00035A21,RedWireSpline01,BNDS,-61685.691406,-89293.765625,4311.595215,0.0000
SecureHomeNAV.esp,3E0054B3,0008B5FD,TrashEdge03,STAT,-61513.656250,-89151.218750,4298.342285,89.0785
SecureHomeNAV.esp,3E0054B2,0008B5FD,TrashEdge03,STAT,-61512.507812,-89255.343750,4293.247070,194.0965
SecureHomeNAV.esp,3E0054B0,0008B604,TrashPileCor01,STAT,-61575.410156,-89180.914062,4289.189453,266.8480
SecureHomeNAV.esp,3E0054C0,00023A7C,SteamTPipeTinySocket01,STAT,-61544.214844,-89284.023438,4297.083008,180.0000
SecureHomeNAV.esp,3E0054BF,00090E92,HitDebrisChunkPipe01,STAT,-61544.328125,-89288.945312,4326.419434,270.0001
SecureHomeNAV.esp,3E0054BD,00023A7C,SteamTPipeTinySocket01,STAT,-61554.710937,-89289.335938,4292.797852,180.0000
SecureHomeNAV.esp,3E0054BC,00090E92,HitDebrisChunkPipe01,STAT,-61553.996094,-89295.453125,4346.675781,270.0001
SecureHomeNAV.esp,3E0054B1,0008B604,TrashPileCor01,STAT,-61619.113281,-89146.664062,4274.297852,176.6072
SecureHomeNAV.esp,3E0054AF,0008B5FD,TrashEdge03,STAT,-61535.640625,-89377.085938,4274.787109,168.1840
SecureHomeNAV.esp,3E0054AB,0008B604,TrashPileCor01,STAT,-61644.558594,-89181.109375,4275.004883,83.4335
SecureHomeNAV.esp,3E0054BB,00090E93,HitDebrisChunkPipe02,STAT,-61616.960937,-89291.976562,4297.106934,177.1120
SecureHomeNAV.esp,3E0054AC,0008A5D7,TrashEdge01,STAT,-61777.085937,-89010.109375,4285.433105,180.8752
SecureHomeNAV.esp,3E0054B7,0004416F,DefaultRedOmni01,LIGH,-61695.085937,-89267.812500,4344.337402,90.0000
SecureHomeNAV.esp,3E0054B9,0001D971,BlackWireSpline01,BNDS,-61685.468750,-89292.648438,4312.988770,0.0000
SecureHomeNAV.esp,3E0054B4,000DC8B2,SubLight03Hanging,STAT,-61693.910156,-89291.281250,4291.083496,182.8880
SecureHomeNAV.esp,3E0054B5,00055398,WallEmergencyLight01,STAT,-61693.859375,-89291.835938,4344.272949,0.3922
SecureHomeNAV.esp,3E0054B6,00055398,WallEmergencyLight01,STAT,-61693.839844,-89291.710938,4344.286133,180.5546
SecureHomeNAV.esp,3E0054B8,0004416F,DefaultRedOmni01,LIGH,-61692.203125,-89318.000000,4344.432617,270.0000
SecureHomeNAV.esp,3E0054AE,0008A5E0,TrashEdge02,STAT,-61709.847656,-89370.718750,4278.710937,187.9055
SecureHomeNAV.esp,3E0054AD,0008B5FD,TrashEdge03,STAT,-61824.714844,-89255.171875,4276.247559,78.5670
SecureHomeNAV.esp,3E0054C2,00000034,XMarkerHeading,STAT,-61852.007812,-89242.242188,4297.242676,81.9437
SecureHomeNAV.esp,3E0054C1,00000010,MapMarker,STAT,-61861.562500,-89207.320312,4296.000000,80.9695
SecureHomeNAV.esp,3E0054AA,0001F65A,RoofHatch01,DOOR,-61612.613281,-89173.445312,4294.358887,87.1120
SecureHomeNAV.esp,3E006473,00024572,NPCInvWallLean01,FURN,4342.282227,3033.732666,3076.566895,90.0001
SecureHomeNAV.esp,3E006472,00024572,NPCInvWallLean01,FURN,4790.984863,3676.956299,2949.566895,270.0001
