source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
SkillBooks.esl,FE01FFEC,FE01FFCE,SBBookGrays,MISC,20500.146484,-10316.770508,634.971863,0.0000
SkillBooks.esl,FE01FFED,FE01FFD1,SBBookChemistry,MISC,2677.025635,-931.401245,-866.674622,359.9862
SkillBooks.esl,FE01FFF3,FE01FFCA,SBBookArmor1,MISC,-33816.691406,-52217.175781,2293.074951,359.9995
SkillBooks.esl,FE01FFF5,FE01FFCA,SBBookArmor1,MISC,-36338.566406,-91751.195312,1949.228516,0.0000
SkillBooks.esl,FE01F006,FE01FFB5,SBMagScience3,BOOK,-49554.585938,-70686.531250,2402.769775,135.0000
SkillBooks.esl,001B3CDD,00194636,CarSedan07,MSTT,-88412.640625,-10042.431641,5756.498047,260.3570
SkillBooks.esl,FE01FFF7,FE01FFCA,SBBookArmor1,MISC,-86667.523438,-2715.719482,6234.018066,186.7823
SkillBooks.esl,FE01FFEA,FE01FFCE,SBBookGrays,MISC,-10553.192383,62238.054687,2303.996826,296.9747
SkillBooks.esl,FE01FFF4,FE01FFCA,SBBookArmor1,MISC,-86323.007812,23692.230469,4714.210449,0.0000
SkillBooks.esl,FE01FFEB,FE01FFCE,SBBookGrays,MISC,52351.695312,15586.173828,996.528503,349.4696
SkillBooks.esl,FE01F005,FE01FFB2,SBMagScience2,BOOK,19029.968750,78232.648438,2136.546387,0.0000
SkillBooks.esl,001ED6CE,000821BD,MistLargeRoundDustyDim,MSTT,3106.071045,610.448364,667.574829,0.0000
SkillBooks.esl,FE01FFE7,FE01FFBB,SBMagGun2,BOOK,-380.436798,535.082275,121.327545,0.0000
SkillBooks.esl,FE01FF99,0019593C,CafeTable01,STAT,1896.543457,2028.971802,162.771545,57.2958
SkillBooks.esl,FE01FFEF,FE01FFD1,SBBookChemistry,MISC,-21.657408,898.433594,56.003223,0.0000
SkillBooks.esl,FE01FFDC,FE01FFA0,SBMagScience1,BOOK,1924.782471,2767.093262,407.826874,0.0000
SkillBooks.esl,FE01FFF1,FE01FFCA,SBBookArmor1,MISC,-1572.282959,-1980.305298,-1059.199219,0.1875
SkillBooks.esl,FE01FFE8,FE01FFBE,SBMagGun3,BOOK,-402.032867,2913.942871,166.655685,0.5343
SkillBooks.esl,FE01FFE1,FE01FFB7,SBMagGun1,BOOK,-2105.822266,847.409668,65.087593,0.0000
SkillBooks.esl,FE01F004,FE01F002,SBMagLocalLeader01,BOOK,1467.531616,-201.690994,32.968750,285.5156
SkillBooks.esl,FE01FFEE,FE01FFD1,SBBookChemistry,MISC,2036.010010,2496.731445,500.330444,0.0000
SkillBooks.esl,FE01FFF8,FE01FFCA,SBBookArmor1,MISC,1699.956299,592.966980,1057.029175,245.4085
SkillBooks.esl,FE01F003,FE01F001,SBMagLocalLeader02,BOOK,2395.802002,4410.997559,1361.098999,301.9713
SkillBooks.esl,000CA272,0003376D,DefaultActivateSelfTrigger,ACTI,2474.439209,4451.324219,1368.964355,270.0001
