source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
SkyCamps.esp,2000C7CA,00072370,WrhsMainSladder01,STAT,-70125.976562,-20675.019531,5013.597168,90.0000
SkyCamps.esp,2000C7C9,00178B30,BOSBarricadePlatform01,STAT,-70132.359375,-20648.578125,4822.704102,90.0001
SkyCamps.esp,2000C7C8,000ECB28,BOSBarricadeWStairsB01,STAT,-69959.445312,-20649.255859,4823.251953,180.0000
SkyCamps.esp,001FFB7A,0006230B,Shack_Single_PlankLng01_Brkn,STAT,-69789.375000,-21026.615234,-30000.000000,270.0000
SkyCamps.esp,001FFB60,00062306,Shack_Single_Plank04,STAT,-69970.632812,-21313.164062,-30000.000000,270.0000
SkyCamps.esp,001FFB5F,0006230F,Shack_Single_PlankLng03_Brkn,STAT,-69992.460938,-21483.345703,-30000.000000,240.7792
SkyCamps.esp,001FFA8B,00194634,CarSedan01,MSTT,-69996.398438,-20827.964844,-30000.000000,286.1013
SkyCamps.esp,2001703F,00175500,FootLocker01,CONT,-69327.390625,-22495.638672,5371.468262,0.0000
SkyCamps.esp,2000FD8D,001A6AFC,NPCStandDrinkCoffee,FURN,-68939.976562,-22582.876953,5374.172363,74.4845
SkyCamps.esp,2000FD8C,001A6AFC,NPCStandDrinkCoffee,FURN,-69146.789062,-22213.750000,5361.197266,85.9437
SkyCamps.esp,2000FD8B,001B40BE,NPCHandWarmingKneeling,FURN,-69066.929688,-22358.558594,5365.400879,91.6733
SkyCamps.esp,2000EE57,2000EE56,SurvivalSideTable01,CONT,-69396.343750,-22223.744141,5361.344238,92.5857
SkyCamps.esp,2000E6BC,001E55E5,LunchBoxKids01,MISC,-69394.523438,-22592.248047,5430.284180,90.7103
SkyCamps.esp,2000E6B7,00059B1E,Turpentine,MISC,-69335.132812,-22908.925781,5430.627930,126.0507
SkyCamps.esp,2000DF13,0004B273,OilCan01,MISC,-69339.648438,-22927.302734,5429.598633,325.6226
SkyCamps.esp,2000DF12,00199A88,Toothpaste,MISC,-69380.195312,-22551.970703,5429.558594,5.7296
SkyCamps.esp,2000DF0D,0019FCD2,Prewar_Grill,STAT,-68931.921875,-22835.240234,5385.275391,97.4020
SkyCamps.esp,2000D771,00139F9C,WoodBox01Static,STAT,-69416.335938,-22054.453125,5356.608887,0.0000
SkyCamps.esp,2000D76E,000211CC,CoffeePot01,MISC,-68996.273438,-22327.013672,5363.368652,342.8116
SkyCamps.esp,2000D76B,00075FE4,AmmoFusionCore,AMMO,-69334.820312,-22921.003906,5455.333496,0.0000
SkyCamps.esp,2000D769,0001820E,MetalTable02,STAT,-69344.695312,-22919.136719,5396.770996,0.0000
SkyCamps.esp,2000D766,001A0380,Loot_ToolChest,CONT,-69360.351562,-23103.085938,5400.457520,348.5409
SkyCamps.esp,2000D765,2000A93A,SurvivorsSmTrashCan,CONT,-69410.382812,-22004.597656,5355.752930,280.7494
SkyCamps.esp,2000D764,20003E0A,SurvivorsMedKit,CONT,-69355.000000,-22916.005859,5452.554199,114.5916
SkyCamps.esp,2000D763,20003E0D,SurvivorsAmmoBox,CONT,-69337.539062,-22912.460938,5397.809082,274.0570
SkyCamps.esp,2000D762,200026E8,SurvivorsCooler,CONT,-69385.531250,-22573.464844,5374.312012,80.2142
SkyCamps.esp,2000CFC6,000C3897,JunkWall03,STAT,-69277.625000,-23198.544922,5398.274414,185.7297
SkyCamps.esp,2000CFC3,0006D134,ShackMidRoof04,STAT,-69276.695312,-23012.080078,5386.829102,88.0000
SkyCamps.esp,2000CFC2,000C573C,DCKitPlankSupport01,STAT,-69387.281250,-23131.304688,5481.941895,180.0000
SkyCamps.esp,2000CFC1,000C573C,DCKitPlankSupport01,STAT,-69157.171875,-23123.808594,5480.451660,180.0000
SkyCamps.esp,2000CFC0,000C573C,DCKitPlankSupport01,STAT,-69394.679688,-22902.244141,5485.280273,0.0000
SkyCamps.esp,2000CFBF,000C573C,DCKitPlankSupport01,STAT,-69165.914062,-22893.167969,5484.323242,0.0000
SkyCamps.esp,2000CFBE,00157FEB,WorkbenchPowerArmor,FURN,-69269.593750,-23006.421875,5397.992188,85.9437
SkyCamps.esp,2000CFBD,00028BB0,ShackMidFloor01,STAT,-69277.351562,-23011.566406,5398.618164,178.0000
SkyCamps.esp,2000C81F,0008ADFA,defaultLightFire01NSFlicker,LIGH,-69025.265625,-22338.906250,5438.774414,0.0000
SkyCamps.esp,2000C81E,0003A32A,defaultLightCandle01FlickerNS,LIGH,-69341.265625,-22603.968750,5464.258301,0.0000
SkyCamps.esp,2000C81D,00001DFD,CinderBlockSingle01,STAT,-68967.734375,-22313.648438,5365.324707,0.0000
SkyCamps.esp,2000C81C,001B2370,RadioDiamondCityReceiverNew,ACTI,-69387.093750,-22619.949219,5430.691895,252.1014
SkyCamps.esp,2000C81B,001487C1,WorkbenchChemistryB,FURN,-69028.593750,-23098.912109,5390.700195,170.9265
SkyCamps.esp,2000C818,00027EB6,PlayerHouse_Rug05,STAT,-69315.109375,-22664.119141,5378.258301,356.2739
SkyCamps.esp,2000C817,0008E7C5,OilLampOn,STAT,-69388.695312,-22570.302734,5430.574707,91.6735
SkyCamps.esp,2000C815,000E6940,NpcChairIndustrialMetalDiningSit01Clean,FURN,-69331.390625,-22635.066406,5374.881348,80.2141
SkyCamps.esp,2000C812,0007D5D3,DinerIntTable02,STAT,-69381.648438,-22599.833984,5374.432617,85.9437
SkyCamps.esp,2000C811,0005A688,AdvertsPoster03,STAT,-69403.210938,-22650.927734,5496.045410,268.3270
SkyCamps.esp,2000C810,000AEE8E,WaterCooler02_Dirty,STAT,-69387.812500,-22518.773438,5370.719727,285.5158
SkyCamps.esp,2000C80F,000B1CFE,Vault_WaterFountain01,ACTI,-69377.515625,-22521.828125,5392.828125,285.5158
SkyCamps.esp,2000C80D,001A75AC,Prewar_ChairPatio01,FURN,-69394.218750,-22157.691406,5359.366211,97.4029
SkyCamps.esp,2000C80C,001A75AC,Prewar_ChairPatio01,FURN,-69398.296875,-22289.224609,5363.607910,91.6733
SkyCamps.esp,2000C80B,002476B7,WorkbenchCookingFireWorkshop,FURN,-68982.367188,-22430.804688,5369.190918,33.4141
SkyCamps.esp,2000C808,0006F9C5,WrhsLeanToMid02,STAT,-69290.882812,-22670.425781,5557.409668,268.8842
SkyCamps.esp,2000C806,0006F9C2,WrhsLeanToL01,STAT,-69289.656250,-22734.412109,5557.409668,268.8842
SkyCamps.esp,2000C805,0006F9C3,WrhsLeanToR01,STAT,-69292.109375,-22606.439453,5557.409668,268.8842
SkyCamps.esp,2000C800,20001F29,SurvivorIceMachine01,CONT,-69352.625000,-22438.152344,5367.543945,90.0000
SkyCamps.esp,2000C7FF,00062310,Shack_Single_PlankLng04,STAT,-69278.250000,-22668.941406,5601.492188,329.4698
SkyCamps.esp,2000C7FD,000C573C,DCKitPlankSupport01,STAT,-69392.828125,-22859.445312,5478.300293,0.0000
SkyCamps.esp,2000C7FC,000C573C,DCKitPlankSupport01,STAT,-69405.765625,-22493.476562,5473.300293,0.0000
SkyCamps.esp,2000C7F6,000C573C,DCKitPlankSupport01,STAT,-69288.976562,-22486.712891,5487.652832,0.0000
SkyCamps.esp,2000C7F5,000C573C,DCKitPlankSupport01,STAT,-69278.437500,-22855.343750,5493.300293,0.0000
SkyCamps.esp,2000C7F0,00032B23,ShackWallHalfR01,STAT,-69280.570312,-22603.701172,5376.289062,85.9437
SkyCamps.esp,2000C7EE,001EC1DD,ShackMidRoof01B,STAT,-69296.343750,-22571.144531,5445.693359,88.2488
SkyCamps.esp,2000C7EC,001EC1DD,ShackMidRoof01B,STAT,-69290.210938,-22775.785156,5445.693359,88.2488
SkyCamps.esp,2000C7EB,000469BB,ShackWallFlatEnd02,STAT,-69267.367188,-22865.234375,5389.623047,90.0000
SkyCamps.esp,2000C7E9,0002A919,ShackWallFlatEnd01,STAT,-69279.023438,-22477.554688,5379.799316,88.3270
SkyCamps.esp,2000C7E4,0002A91A,ShackWallFlat01,STAT,-69276.250000,-22733.625000,5376.316895,88.3270
SkyCamps.esp,2000C7E3,0004329F,NpcBedVaultLay02,FURN,-69347.000000,-22760.218750,5378.913574,178.3270
SkyCamps.esp,001FFB63,0006230D,Shack_Single_PlankLng02_Brkn,STAT,-69608.539062,-21436.517578,5330.619141,301.7992
SkyCamps.esp,001FFB62,00062309,Shack_Single_Plank05_Brkn,STAT,-69540.632812,-21377.351562,5327.726562,302.3564
SkyCamps.esp,001FFB59,001ADB1D,TrashEdge03_Nochunks,STAT,-69272.039062,-22666.873047,-30000.000000,270.0000
SkyCamps.esp,001FFB58,001ADB1D,TrashEdge03_Nochunks,STAT,-69273.781250,-22813.341797,-30000.000000,265.7028
SkyCamps.esp,001FFB57,001ADB1D,TrashEdge03_Nochunks,STAT,-69360.929688,-22544.890625,-30000.000000,190.9318
SkyCamps.esp,001FFB56,001ADB1D,TrashEdge03_Nochunks,STAT,-69302.007812,-22970.714844,-30000.000000,291.4859
SkyCamps.esp,001FFB55,0008A5D7,TrashEdge01,STAT,-69370.859375,-23049.062500,-30000.000000,278.5944
SkyCamps.esp,001FFB54,0008B5F6,TrashPileWall01,STAT,-69379.726562,-22795.953125,-30000.000000,270.0000
SkyCamps.esp,001FFB53,00194634,CarSedan01,MSTT,-68912.968750,-23219.765625,-30000.000000,110.4104
SkyCamps.esp,001FFB34,0019149F,Rubble_Pile_Debris_07,STAT,-69336.140625,-22447.015625,-30000.000000,270.0000
SkyCamps.esp,001FFB2B,0010693B,Rubble_Flat_Trash_Sm01,STAT,-69368.531250,-21955.472656,-30000.000000,8.8352
SkyCamps.esp,001FFB2A,0010693A,Rubble_Flat_Trash_Lg01c,STAT,-69246.695312,-22277.447266,-30000.000000,270.0000
SkyCamps.esp,001FFB28,0010693A,Rubble_Flat_Trash_Lg01c,STAT,-69288.375000,-23788.667969,5418.471680,270.0000
SkyCamps.esp,001FF31F,0004C902,VineGround02,STAT,-69594.164062,-21519.060547,-30000.000000,188.3189
SkyCamps.esp,001FF315,00048BB4,VineHangingLarge01,STAT,-69191.351562,-21881.279297,-30000.000000,316.2635
SkyCamps.esp,001FF310,0005C221,VineHangingLarge03,STAT,-68903.710938,-21865.722656,-30000.000000,198.3353
SkyCamps.esp,20017040,2000A93A,SurvivorsSmTrashCan,CONT,-13988.615234,99945.515625,4962.212891,124.3775
SkyCamps.esp,20017039,00175500,FootLocker01,CONT,-14041.627930,100510.703125,4982.223145,0.8367
SkyCamps.esp,20012BBE,00199A88,Toothpaste,MISC,-14010.728516,100375.734375,5079.529785,230.1466
SkyCamps.esp,20012BBC,0006B165,BoardGame01,MISC,-14168.425781,100684.750000,5016.686035,91.6733
SkyCamps.esp,20012BBB,00059B27,AlarmClock,MISC,-14140.597656,100686.187500,5039.186035,0.0000
SkyCamps.esp,20012BB8,0006C5AE,WonderglueLarge,MISC,-14165.314453,100690.710938,5039.290039,269.2902
SkyCamps.esp,20012BB7,00060E78,DuctTapeMilitary,MISC,-14176.235352,100687.250000,5039.860840,0.0000
SkyCamps.esp,20012BB5,00059B1E,Turpentine,MISC,-14087.478516,99894.984375,4979.472656,0.0000
SkyCamps.esp,20012BB4,001AAD69,MakeshiftBattery01,MISC,-14010.921875,100955.539062,4972.452148,16.3521
SkyCamps.esp,20012BB3,00062318,Shack_Single_Plywood02_Brkn,STAT,-14033.592773,100483.859375,5106.253906,90.0000
SkyCamps.esp,20012BB2,0005A687,AdvertsPoster02,STAT,-14033.239258,100486.085938,5087.592285,180.0001
SkyCamps.esp,20012BB0,000C437F,Coolant01,MISC,-14010.869141,100936.554688,4969.350586,52.5296
SkyCamps.esp,20012BAE,00059B1E,Turpentine,MISC,-14166.197266,100753.539062,4973.750000,171.8874
SkyCamps.esp,20012BAD,00075FE4,AmmoFusionCore,AMMO,-14147.613281,100752.679688,4976.671387,194.8057
SkyCamps.esp,20012BAC,000211CC,CoffeePot01,MISC,-14012.587891,100162.812500,5012.341309,179.4172
SkyCamps.esp,20012BAB,2000EE56,SurvivalSideTable01,CONT,-14009.256836,100165.500000,4964.722656,270.0002
SkyCamps.esp,200082C5,001A6AFC,NPCStandDrinkCoffee,FURN,-14322.159180,99961.750000,4960.704590,234.9127
SkyCamps.esp,200082C4,001B40BE,NPCHandWarmingKneeling,FURN,-14319.773437,100247.281250,4965.034668,213.5409
SkyCamps.esp,20007B2A,0003A32A,defaultLightCandle01FlickerNS,LIGH,-14103.356445,100621.312500,5093.537109,0.0000
SkyCamps.esp,20007B29,0008ADFA,defaultLightFire01NSFlicker,LIGH,-14334.270508,100170.414062,5042.663086,0.0000
SkyCamps.esp,20007B28,0008E7C5,OilLampOn,STAT,-14138.004883,100691.062500,5060.717285,0.0000
SkyCamps.esp,20007B27,00139F9C,WoodBox01Static,STAT,-14159.920898,100739.882812,4985.869141,90.0000
SkyCamps.esp,20007B24,001A0380,Loot_ToolChest,CONT,-14086.727539,100769.609375,4972.371582,225.0000
SkyCamps.esp,20006BF1,00157FEB,WorkbenchPowerArmor,FURN,-14158.482422,100866.601562,4971.869141,270.0001
SkyCamps.esp,20006457,001D15DF,JunkWall04,STAT,-13990.010742,100866.304688,4972.080566,270.0000
SkyCamps.esp,2000644E,200026E8,SurvivorsCooler,CONT,-14012.146484,100032.070312,4962.041016,90.0000
SkyCamps.esp,2000644C,0019FCD2,Prewar_Grill,STAT,-14095.260742,99897.554688,4962.331055,163.6479
SkyCamps.esp,20005CB1,00100406,BillboardMed01NukaCherry,STAT,-13143.201172,100021.093750,5180.410156,89.3268
SkyCamps.esp,20005CAF,20003E0D,SurvivorsAmmoBox,CONT,-14105.350586,100688.757812,4982.717285,11.4592
SkyCamps.esp,20005514,00001DFD,CinderBlockSingle01,STAT,-14396.939453,100238.585938,4966.556641,0.0000
SkyCamps.esp,20005512,001487C1,WorkbenchChemistryB,FURN,-14414.695312,100568.046875,4971.653320,270.0000
SkyCamps.esp,20005511,001B2370,RadioDiamondCityReceiverNew,ACTI,-14171.343750,100690.960938,5060.717285,0.0000
SkyCamps.esp,20005510,00072BDC,PlayerHouse_Ruin_WetBar02,STAT,-14158.869141,100693.320312,4982.717285,0.0000
SkyCamps.esp,2000550E,20003E0A,SurvivorsMedKit,CONT,-14158.914062,100749.500000,4998.641113,352.5973
SkyCamps.esp,2000550B,20001F29,SurvivorIceMachine01,CONT,-14009.333984,100416.898438,4967.831543,0.0000
SkyCamps.esp,20005509,001A75AC,Prewar_ChairPatio01,FURN,-14019.979492,100090.968750,4963.646484,275.7296
SkyCamps.esp,20005508,001A75AC,Prewar_ChairPatio01,FURN,-14022.569336,100233.382812,4965.945801,264.2705
SkyCamps.esp,20005507,000F0B53,ShackWallFlatEnd03,STAT,-14095.708984,100733.250000,4981.375488,90.0000
SkyCamps.esp,20005505,0004D1CE,PlayerHouse_Rug02,STAT,-14117.070312,100582.593750,4981.374512,0.0000
SkyCamps.esp,20005503,0004329F,NpcBedVaultLay02,FURN,-14036.180664,100603.664062,4983.129395,0.0000
SkyCamps.esp,20005502,0006D126,ShackWallOuter05B,STAT,-14100.697266,100607.117188,4981.375488,270.0000
SkyCamps.esp,20005501,000F0B53,ShackWallFlatEnd03,STAT,-14100.697266,100479.117188,4981.375488,270.0000
SkyCamps.esp,200054FF,000469BB,ShackWallFlatEnd02,STAT,-14100.697266,100735.117188,4981.375488,270.0000
SkyCamps.esp,200054F9,0009DFA3,ShackWallOuter03B,STAT,-14100.697266,100607.117188,4981.375488,90.0000
SkyCamps.esp,200054F6,002476B7,WorkbenchCookingFireWorkshop,FURN,-14403.080078,100122.531250,4964.145996,28.6479
SkyCamps.esp,200054F5,000B1CFE,Vault_WaterFountain01,ACTI,-14015.081055,100331.929688,4988.479492,76.8678
SkyCamps.esp,200054F4,000AEE8E,WaterCooler02_Dirty,STAT,-14004.573242,100334.179688,4966.371094,76.8678
SkyCamps.esp,001F3355,00062309,Shack_Single_Plank05_Brkn,STAT,-14069.215820,100299.984375,-30000.000000,270.0000
SkyCamps.esp,001F3354,0006230D,Shack_Single_PlankLng02_Brkn,STAT,-14096.246094,100512.398438,-30000.000000,230.4659
SkyCamps.esp,001F32A3,0010693A,Rubble_Flat_Trash_Lg01c,STAT,-14171.849609,99854.562500,-30000.000000,270.0000
SkyCamps.esp,001F32A2,0010693B,Rubble_Flat_Trash_Sm01,STAT,-14395.864258,100358.601562,-30000.000000,11.4135
SkyCamps.esp,001F32A1,0010693C,Rubble_Flat_Trash_Sm02,STAT,-14067.267578,100656.671875,-30000.000000,183.1968
SkyCamps.esp,001F32A0,0010693A,Rubble_Flat_Trash_Lg01c,STAT,-14145.428711,100901.203125,-30000.000000,270.0000
SkyCamps.esp,001F3230,0005C229,VineHanging09,STAT,-14740.449219,100665.195312,-30000.000000,82.5755
SkyCamps.esp,001F322D,000457C2,VineHanging01,STAT,-14720.893555,100462.429688,-30000.000000,49.9146
SkyCamps.esp,20021FAC,0003A32A,defaultLightCandle01FlickerNS,LIGH,-14660.777344,96802.312500,4818.330566,0.0000
SkyCamps.esp,20021FAB,0008E7C5,OilLampOn,STAT,-14662.022461,96802.304688,4790.751465,79.2509
SkyCamps.esp,001F327F,00194638,CarSedan02,MSTT,-14128.089844,98117.437500,5401.435547,257.0346
SkyCamps.esp,0018BE69,0002C7AF,TreeClusterVines01,SCOL,-14728.725586,96079.640625,4412.347168,210.0970
SkyCamps.esp,0018BE68,0004C902,VineGround02,STAT,-14684.783203,96173.945312,4536.818848,275.5464
SkyCamps.esp,2001E2E2,0011033C,SimpleElevatorMaster,ACTI,-32324.169922,21799.279297,5035.350586,51.5662
SkyCamps.esp,2001E2DE,0006D345,DeerFence_Gate01,DOOR,-32203.078125,21822.347656,4652.132812,225.0000
SkyCamps.esp,2001E2DC,00037213,MetalCableSpline01,BNDS,-32202.121094,21943.787109,4834.311035,0.0000
SkyCamps.esp,2001E2DB,00037213,MetalCableSpline01,BNDS,-32173.960937,21915.794922,4833.526855,0.0000
SkyCamps.esp,2001E2DA,00037213,MetalCableSpline01,BNDS,-32198.703125,21891.095703,4834.037109,0.0000
SkyCamps.esp,2001E2D9,00037213,MetalCableSpline01,BNDS,-32227.171875,21918.238281,4833.666504,0.0000
SkyCamps.esp,2001E2D7,00118CCB,BoatFishing01_PartsPulley01,STAT,-32200.222656,22013.640625,4789.011719,271.6847
SkyCamps.esp,2001E2D6,00118CCB,BoatFishing01_PartsPulley01,STAT,-32104.242187,21917.017578,4789.011719,0.0000
SkyCamps.esp,2001E2D5,00118CCB,BoatFishing01_PartsPulley01,STAT,-32200.242187,21821.017578,4789.011719,270.0001
SkyCamps.esp,2001E2D4,00118CCB,BoatFishing01_PartsPulley01,STAT,-32296.242187,21917.017578,4789.011719,180.0000
SkyCamps.esp,2001E2D3,00034701,ShackBalconyRailing01,STAT,-32296.242187,22013.017578,4656.145020,315.0000
SkyCamps.esp,2001E2D2,00034701,ShackBalconyRailing01,STAT,-32104.242187,21821.017578,4656.145020,135.0000
SkyCamps.esp,2001E2D0,0005E0DC,DeerFence_Post01,STAT,-32104.242187,21917.017578,4656.145020,45.0000
SkyCamps.esp,2001E2CF,0005E0DC,DeerFence_Post01,STAT,-32200.242187,21821.017578,4656.145020,45.0000
SkyCamps.esp,2001E2CE,0005E0DC,DeerFence_Post01,STAT,-32296.242187,21917.017578,4656.145020,45.0000
SkyCamps.esp,2001E2CD,0005E0DC,DeerFence_Post01,STAT,-32200.242187,22013.017578,4656.145020,45.0000
SkyCamps.esp,2001E2CB,0006D345,DeerFence_Gate01,DOOR,-32198.886719,22011.500000,4654.232422,45.0000
SkyCamps.esp,2001DB29,000AC9D0,DefaultSetPlayerOnElevatorTrig,ACTI,-32201.511719,21920.333984,4732.730469,314.1634
SkyCamps.esp,2001DB1D,000234C0,SteamTMetalBgIBeamUp01,STAT,-32753.828125,21280.302734,4726.356445,45.0000
SkyCamps.esp,2001DB1B,00037213,MetalCableSpline01,BNDS,-30574.234375,23540.267578,4793.664062,0.0000
SkyCamps.esp,001F9E8D,0008B618,TrashEdge04,STAT,-32676.904297,21529.880859,-30000.000000,270.0000
SkyCamps.esp,2001DB2A,000AC9D0,DefaultSetPlayerOnElevatorTrig,ACTI,-29041.636719,25062.470703,4508.188477,314.1634
