source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
StartsDeadAlive_Q.esp,06032432,0002898B,LvlRaider,NPC_,-32223.849609,-17195.875000,1445.078125,279.2552
StartsDeadAlive_Q.esp,0603274E,001C4033,LvlMerchant,NPC_,-18182.000000,-5504.089355,859.552490,140.0540
StartsDeadAlive_Q.esp,0603BF21,001C4033,LvlMerchant,NPC_,-18458.498047,-3321.786377,884.947754,83.5106
StartsDeadAlive_Q.esp,0603BF19,001C4033,LvlMerchant,NPC_,-18020.396484,-3855.018311,1015.338562,87.9079
StartsDeadAlive_Q.esp,0603BF18,001C4033,LvlMerchant,NPC_,-18763.652344,-3586.312256,854.012756,346.3493
StartsDeadAlive_Q.esp,060319E4,001C4033,LvlMerchant,NPC_,-10807.529297,-4644.131836,475.508881,230.0362
StartsDeadAlive_Q.esp,060319E3,001C4033,LvlMerchant,NPC_,-10462.654297,-4796.096191,476.523163,167.9089
StartsDeadAlive_Q.esp,060319AF,001C4033,LvlMerchant,NPC_,-10388.935547,-1251.511108,476.270355,106.7567
StartsDeadAlive_Q.esp,060319AE,001C4033,LvlMerchant,NPC_,-10377.888672,-1078.728516,476.530548,84.1080
StartsDeadAlive_Q.esp,060319AD,001C4033,LvlMerchant,NPC_,-9501.833984,-1307.259155,646.900085,7.0562
StartsDeadAlive_Q.esp,060319AC,001C4033,LvlMerchant,NPC_,-10305.275391,-678.360413,757.768921,240.0095
StartsDeadAlive_Q.esp,06011889,060489D2,DLC04BloatedBrahmiluffCorpse02,MSTT,-7861.972168,-31046.707031,450.930664,244.4116
StartsDeadAlive_Q.esp,0601188A,060489D1,DLC04BloatedBrahmiluffCorpse01,MSTT,-6993.040039,-33814.179687,448.804993,331.1577
StartsDeadAlive_Q.esp,06043279,001C4033,LvlMerchant,NPC_,-43807.765625,-23303.863281,1416.748901,57.7388
StartsDeadAlive_Q.esp,06043B08,06011091,DLC04_LvlGang_Pack,NPC_,-43740.562500,-11278.117188,1726.663696,34.3775
StartsDeadAlive_Q.esp,060323F3,01005050,DLC01LvlBotRaider,NPC_,-32901.980469,-15840.946289,1472.297729,337.9042
StartsDeadAlive_Q.esp,060443D0,0002898B,LvlRaider,NPC_,-17143.564453,39935.804688,2706.192383,193.8424
StartsDeadAlive_Q.esp,060418F1,0002898B,LvlRaider,NPC_,-31681.667969,20964.380859,1742.127075,68.7549
StartsDeadAlive_Q.esp,06044418,00075337,LvlFeralGhoul,NPC_,-25224.576172,14777.811523,760.251465,0.0000
StartsDeadAlive_Q.esp,06044417,00075337,LvlFeralGhoul,NPC_,-25887.832031,14928.881836,774.554688,0.0000
StartsDeadAlive_Q.esp,06044416,00075337,LvlFeralGhoul,NPC_,-24924.343750,15605.446289,772.404358,0.0000
StartsDeadAlive_Q.esp,0604CB5A,001C4033,LvlMerchant,NPC_,-19172.935547,1697.412231,1102.592896,239.3237
StartsDeadAlive_Q.esp,06031A02,001C4033,LvlMerchant,NPC_,-15382.329102,5896.073242,586.064209,59.4558
StartsDeadAlive_Q.esp,06031A01,001C4033,LvlMerchant,NPC_,-15907.960937,5806.695312,584.734680,290.6311
StartsDeadAlive_Q.esp,06031A00,001C4033,LvlMerchant,NPC_,-15298.898437,5476.578125,663.705688,355.8513
StartsDeadAlive_Q.esp,06048376,001C4033,LvlMerchant,NPC_,-15840.517578,14626.642578,611.580383,0.0000
StartsDeadAlive_Q.esp,06048375,001C4033,LvlMerchant,NPC_,-15894.295898,14569.218750,624.087952,219.6291
StartsDeadAlive_Q.esp,06048A6E,00075337,LvlFeralGhoul,NPC_,-8308.543945,14617.822266,785.488342,0.0000
StartsDeadAlive_Q.esp,06048A1C,00075337,LvlFeralGhoul,NPC_,-8855.394531,14929.019531,617.957764,9.9858
StartsDeadAlive_Q.esp,06048A21,00075337,LvlFeralGhoul,NPC_,-5783.922852,16066.737305,616.842957,308.2046
