source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
SubwayRunnerBetterNav.esp,FE055016,FE055001,SubwayMapMarkerDiscoverTrig,ACTI,1199.821777,4239.712891,-767.057922,0.0000
SubwayRunnerBetterNav.esp,FE055015,FE055001,SubwayMapMarkerDiscoverTrig,ACTI,7667.515625,4231.081543,-764.543213,0.0000
SubwayRunnerBetterNav.esp,FE055026,FE055001,SubwayMapMarkerDiscoverTrig,ACTI,8428.800781,445.421600,262.752411,0.0000
SubwayRunnerBetterNav.esp,FE055025,FE055001,SubwayMapMarkerDiscoverTrig,ACTI,7977.181152,4094.446533,343.721436,0.0000
SubwayRunnerBetterNav.esp,FE05502A,FE055001,SubwayMapMarkerDiscoverTrig,ACTI,-584.329773,7579.515625,-819.699219,0.0000
SubwayRunnerBetterNav.esp,FE055029,FE055001,SubwayMapMarkerDiscoverTrig,ACTI,-579.936584,3478.702393,-827.030396,0.0000
SubwayRunnerBetterNav.esp,FE05502C,FE055001,SubwayMapMarkerDiscoverTrig,ACTI,3580.610596,-3219.515625,-1221.193359,0.0000
SubwayRunnerBetterNav.esp,FE05502B,FE055001,SubwayMapMarkerDiscoverTrig,ACTI,4037.009521,2865.347168,-1235.490479,0.0000
SubwayRunnerBetterNav.esp,FE055011,FE055001,SubwayMapMarkerDiscoverTrig,ACTI,2250.229980,5840.485840,-255.000000,0.0000
SubwayRunnerBetterNav.esp,FE055010,FE055001,SubwayMapMarkerDiscoverTrig,ACTI,3786.760742,-169.515610,-255.120407,0.0000
SubwayRunnerBetterNav.esp,FE055019,FE055001,SubwayMapMarkerDiscoverTrig,ACTI,2251.590088,-1147.591064,-255.037704,0.0000
SubwayRunnerBetterNav.esp,FE05501E,FE055001,SubwayMapMarkerDiscoverTrig,ACTI,3490.619141,1409.045776,-288.007538,0.0000
SubwayRunnerBetterNav.esp,FE05501D,FE055001,SubwayMapMarkerDiscoverTrig,ACTI,1454.121338,951.395081,-463.134491,0.0000
SubwayRunnerBetterNav.esp,FE05501C,FE055001,SubwayMapMarkerDiscoverTrig,ACTI,1431.631592,72.167198,-460.273499,0.0000
SubwayRunnerBetterNav.esp,FE05501B,FE055001,SubwayMapMarkerDiscoverTrig,ACTI,539.619873,516.238647,-547.911560,0.0000
SubwayRunnerBetterNav.esp,FE05501A,FE055001,SubwayMapMarkerDiscoverTrig,ACTI,-452.657898,2300.392578,-534.419312,0.0000
SubwayRunnerBetterNav.esp,FE055018,FE055001,SubwayMapMarkerDiscoverTrig,ACTI,3792.016357,-138.251999,-254.630600,0.0000
SubwayRunnerBetterNav.esp,FE055017,FE055001,SubwayMapMarkerDiscoverTrig,ACTI,2257.789795,6822.876953,-254.586899,0.0000
SubwayRunnerBetterNav.esp,FE05500F,FE055001,SubwayMapMarkerDiscoverTrig,ACTI,2925.046387,-3551.585449,-255.554199,9.0000
SubwayRunnerBetterNav.esp,FE05500E,FE055001,SubwayMapMarkerDiscoverTrig,ACTI,3800.316162,6298.519043,-252.562500,0.0000
SubwayRunnerBetterNav.esp,FE055020,FE055001,SubwayMapMarkerDiscoverTrig,ACTI,2661.780273,9728.709961,-84.619698,0.0000
SubwayRunnerBetterNav.esp,FE05501F,FE055001,SubwayMapMarkerDiscoverTrig,ACTI,2026.407715,4951.504883,-151.717499,0.0000
SubwayRunnerBetterNav.esp,FE05500D,FE055001,SubwayMapMarkerDiscoverTrig,ACTI,1207.429199,4251.858398,-773.277649,0.0000
SubwayRunnerBetterNav.esp,FE05500C,FE055001,SubwayMapMarkerDiscoverTrig,ACTI,7645.403320,4227.014648,-766.715149,0.0000
SubwayRunnerBetterNav.esp,FE05500B,FE055001,SubwayMapMarkerDiscoverTrig,ACTI,3344.664062,5282.714355,-255.804199,2.0000
SubwayRunnerBetterNav.esp,FE05500A,FE055001,SubwayMapMarkerDiscoverTrig,ACTI,2702.748779,5860.750977,-248.924606,2.0000
SubwayRunnerBetterNav.esp,FE055009,FE055001,SubwayMapMarkerDiscoverTrig,ACTI,760.206177,3259.515137,69.391098,0.0000
SubwayRunnerBetterNav.esp,FE055008,FE055001,SubwayMapMarkerDiscoverTrig,ACTI,-1799.969849,-6310.568848,66.475250,0.0000
SubwayRunnerBetterNav.esp,FE055014,FE055001,SubwayMapMarkerDiscoverTrig,ACTI,-1211.422241,-6648.523437,73.000000,0.0000
