source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
SubwayRunnnerDynamicLighting.esp,1204C174,0003450B,RoadManholeDoor01,DOOR,20948.000000,-12428.000000,612.000000,0.0000
SubwayRunnnerDynamicLighting.esp,12055CFD,0000488E,MetroMan_1,STAT,-15320.229492,-32268.369141,1492.000000,0.0000
SubwayRunnnerDynamicLighting.esp,12055CFC,00020F4B,TransitStationDeco1x1EntranceFull01,STAT,-14902.950195,-32402.511719,1332.000000,85.0000
SubwayRunnnerDynamicLighting.esp,12055CFB,00020F4B,TransitStationDeco1x1EntranceFull01,STAT,-15307.056641,-32441.882812,1332.000000,265.0000
SubwayRunnnerDynamicLighting.esp,12055CFA,00020FCD,TransitStationDeco1x1EntranceSingle01,STAT,-15112.722656,-32322.490234,1314.000000,175.0001
SubwayRunnnerDynamicLighting.esp,12007594,0000488E,MetroMan_1,STAT,-14916.123047,-32229.000000,1492.000000,0.0000
SubwayRunnnerDynamicLighting.esp,12002A9A,00022782,UtilMetalDoorPlugB01,STAT,-15113.943359,-32308.542969,1342.000000,85.0000
SubwayRunnnerDynamicLighting.esp,0002B826,000625CA,MetalBarrelMovable01,MSTT,-15189.175781,-32286.257812,-30000.000000,91.1830
SubwayRunnnerDynamicLighting.esp,0002B804,0005BA45,SWBollardDest,MSTT,-15139.416992,-31660.267578,-30000.000000,136.0775
SubwayRunnnerDynamicLighting.esp,12026BEA,000B21BF,DecoLobbyARW1x1Stairs01,STAT,-25573.386719,-3869.088379,955.590332,271.5467
SubwayRunnnerDynamicLighting.esp,12026BE9,00020FCD,TransitStationDeco1x1EntranceSingle01,STAT,-25456.693359,-3847.330322,954.156738,271.5468
SubwayRunnnerDynamicLighting.esp,12026BE8,001A6B2F,TransitStationSignage14,STAT,-25414.791016,-3847.055420,1202.454102,271.5467
SubwayRunnnerDynamicLighting.esp,12026BE7,00001B42,TransitStation01,STAT,-25792.585937,-3838.244385,954.156738,271.5467
SubwayRunnnerDynamicLighting.esp,12055CF9,0002176E,RWStoneBlockDouble01,STAT,-55727.984375,73281.320312,6174.564453,269.0668
SubwayRunnnerDynamicLighting.esp,12055CF8,0002176E,RWStoneBlockDouble01,STAT,-55727.984375,73281.320312,6130.564453,269.0668
SubwayRunnnerDynamicLighting.esp,12055CF7,0002176E,RWStoneBlockDouble01,STAT,-55880.968750,73099.007812,6174.564453,269.0668
SubwayRunnnerDynamicLighting.esp,12055CF6,0002176E,RWStoneBlockDouble01,STAT,-55880.968750,73099.007812,6130.564453,269.0668
SubwayRunnnerDynamicLighting.esp,12055CF4,00018C63,IndMetalDoorPlugB01,STAT,-55800.523437,73185.539062,6048.564453,40.0000
SubwayRunnnerDynamicLighting.esp,12055CF1,00184EE1,TransitStation02,STAT,-55988.968750,73343.664062,6036.564453,310.0000
SubwayRunnnerDynamicLighting.esp,12027B6E,0001D166,DebrisPile01,STAT,-55259.554687,71364.039062,6062.475098,0.0000
SubwayRunnnerDynamicLighting.esp,12027B6D,0001D1A0,DebrisPile01Trash,STAT,-55365.714844,71478.476562,6055.721191,302.7043
SubwayRunnnerDynamicLighting.esp,12027B6C,0001D1A0,DebrisPile01Trash,STAT,-55482.652344,71586.281250,6051.053711,0.0000
SubwayRunnnerDynamicLighting.esp,12026BDB,001A6B2F,TransitStationSignage14,STAT,-55803.585937,73188.109375,6222.564453,310.0000
SubwayRunnnerDynamicLighting.esp,00034A1F,0001D971,BlackWireSpline01,BNDS,-55387.175781,72042.000000,-30000.000000,0.0000
SubwayRunnnerDynamicLighting.esp,12026BDE,00001B42,TransitStation01,STAT,-54611.917969,75902.304688,6085.341797,37.8519
SubwayRunnnerDynamicLighting.esp,12026BDD,00020FCD,TransitStationDeco1x1EntranceSingle01,STAT,-54818.093750,75636.921875,6085.341797,37.8519
SubwayRunnnerDynamicLighting.esp,12026BDC,000B21BF,DecoLobbyARW1x1Stairs01,STAT,-54766.515625,75743.859375,6086.775391,37.8519
SubwayRunnnerDynamicLighting.esp,1200A3C9,00004892,MetroWoman_2,STAT,-35901.667969,38925.859375,3629.288574,12.0000
SubwayRunnnerDynamicLighting.esp,12000FBC,00020F4B,TransitStationDeco1x1EntranceFull01,STAT,-34437.882812,37368.812500,3256.638916,180.0001
SubwayRunnnerDynamicLighting.esp,12000FBB,00020F4B,TransitStationDeco1x1EntranceFull01,STAT,-34437.882812,36988.812500,3256.638916,0.0000
SubwayRunnnerDynamicLighting.esp,12000FBA,00020FCD,TransitStationDeco1x1EntranceSingle01,STAT,-34553.882812,37176.812500,3256.638916,90.0001
SubwayRunnnerDynamicLighting.esp,12000FB9,00020F48,TransitStationDeco2x1EntranceFull01,STAT,-34485.882812,37180.812500,3256.638916,90.0001
SubwayRunnnerDynamicLighting.esp,12032429,000B21BF,DecoLobbyARW1x1Stairs01,STAT,50398.941406,-216.860611,565.433899,313.6540
SubwayRunnnerDynamicLighting.esp,12032428,00020FCD,TransitStationDeco1x1EntranceSingle01,STAT,50500.113281,-278.964905,564.000183,313.6541
SubwayRunnnerDynamicLighting.esp,12032427,001A6B2F,TransitStationSignage14,STAT,50531.390625,-306.853394,812.297729,313.6540
SubwayRunnnerDynamicLighting.esp,12032426,00001B42,TransitStation01,STAT,50257.000000,-47.000000,564.000000,313.6540
SubwayRunnnerDynamicLighting.esp,12000FC0,00000021,CollisionMarker,STAT,50256.000000,-38.000000,822.000000,134.0000
SubwayRunnnerDynamicLighting.esp,12026BF4,00020FCD,TransitStationDeco1x1EntranceSingle01,STAT,26691.679687,-15423.046875,510.881287,0.0000
SubwayRunnnerDynamicLighting.esp,12026BD9,001A6B2F,TransitStationSignage14,STAT,18632.890625,-54708.605469,1299.297607,270.0000
SubwayRunnnerDynamicLighting.esp,12026BD6,000B21BF,DecoLobbyARW1x1Stairs01,STAT,18474.949219,-54734.910156,1052.433716,270.0001
SubwayRunnnerDynamicLighting.esp,120251B8,00001B42,TransitStation01,STAT,18255.000000,-54710.000000,1051.000000,270.0001
SubwayRunnnerDynamicLighting.esp,120251B7,00020FCD,TransitStationDeco1x1EntranceSingle01,STAT,18591.000000,-54710.000000,1051.000000,270.0001
SubwayRunnnerDynamicLighting.esp,12000FC5,0016C8C8,defaultLightWarm02NSNonSpecFlicker,LIGH,18628.000000,-54915.000000,1288.000000,0.0000
SubwayRunnnerDynamicLighting.esp,12000FC4,00109179,MetroWoman_2b,STAT,18612.000000,-54523.000000,1238.000000,91.0000
SubwayRunnnerDynamicLighting.esp,12000FC3,00109178,MetroWoman_2a,STAT,18612.000000,-54897.000000,1238.000000,91.0000
SubwayRunnnerDynamicLighting.esp,12000FC2,00000021,CollisionMarker,STAT,18236.000000,-54716.000000,1240.000000,270.0000
SubwayRunnnerDynamicLighting.esp,12026BFC,000B21BF,DecoLobbyARW1x1Stairs01,STAT,68698.687500,48418.097656,585.136230,179.8735
SubwayRunnnerDynamicLighting.esp,12026BFB,00020FCD,TransitStationDeco1x1EntranceSingle01,STAT,68673.492187,48534.101562,583.702637,179.8736
SubwayRunnnerDynamicLighting.esp,12026BFA,001A6B2F,TransitStationSignage14,STAT,68672.000000,48576.000000,832.000000,179.8735
SubwayRunnnerDynamicLighting.esp,12026BF9,00001B42,TransitStation01,STAT,68674.210937,48198.097656,583.702637,179.8735
SubwayRunnnerDynamicLighting.esp,12046BC7,000B21BF,DecoLobbyARW1x1Stairs01,STAT,3924.000000,11612.000000,796.000000,236.0035
SubwayRunnnerDynamicLighting.esp,12046BC6,00020F4B,TransitStationDeco1x1EntranceFull01,STAT,3960.000000,11652.000000,792.000000,236.0035
SubwayRunnnerDynamicLighting.esp,12048B9B,00000010,MapMarker,STAT,-41133.753906,-77289.093750,2158.875977,0.0000
SubwayRunnnerDynamicLighting.esp,12048B9A,00000034,XMarkerHeading,STAT,-40976.000000,-77280.000000,2152.000000,270.0000
SubwayRunnnerDynamicLighting.esp,12048B95,00000034,XMarkerHeading,STAT,4138.997070,11775.245117,828.271912,225.0000
SubwayRunnnerDynamicLighting.esp,12048B94,00000010,MapMarker,STAT,4140.087402,11802.865234,815.076599,0.0000
SubwayRunnnerDynamicLighting.esp,12046BBA,0002278E,UtilMetalDbDoorLoad01,DOOR,3988.000000,11668.000000,824.000000,55.3866
SubwayRunnnerDynamicLighting.esp,12043B63,0003450B,RoadManholeDoor01,DOOR,-41197.308594,-77254.203125,2167.271484,314.8566
SubwayRunnnerDynamicLighting.esp,1203242B,00000034,XMarkerHeading,STAT,50675.000000,-380.000000,578.000000,314.0000
SubwayRunnnerDynamicLighting.esp,1203242A,00000010,MapMarker,STAT,50552.000000,-326.000000,576.000000,313.2002
SubwayRunnnerDynamicLighting.esp,12032425,0002278E,UtilMetalDbDoorLoad01,DOOR,50500.113281,-278.964844,580.000183,133.6540
SubwayRunnnerDynamicLighting.esp,12026BFE,00000010,MapMarker,STAT,68700.398437,48720.011719,607.427734,0.0000
SubwayRunnnerDynamicLighting.esp,12026BFD,00000034,XMarkerHeading,STAT,68992.000000,48784.000000,608.000000,245.4085
SubwayRunnnerDynamicLighting.esp,12026BF8,0002278E,UtilMetalDbDoorLoad01,DOOR,68673.492187,48534.101562,599.702637,359.8735
SubwayRunnnerDynamicLighting.esp,12026BF5,0002278E,UtilMetalDbDoorLoad01,DOOR,26688.000000,-15424.000000,512.000000,0.0000
SubwayRunnnerDynamicLighting.esp,12026BF3,00000010,MapMarker,STAT,26590.669922,-15580.423828,520.524597,0.0000
SubwayRunnnerDynamicLighting.esp,12026BF2,00000034,XMarkerHeading,STAT,26688.000000,-15856.000000,528.000000,0.0000
SubwayRunnnerDynamicLighting.esp,12026BF1,00000034,XMarkerHeading,STAT,-55608.820312,73062.843750,6050.638672,309.0001
SubwayRunnnerDynamicLighting.esp,12026BF0,00000010,MapMarker,STAT,-55732.257812,73123.843750,6049.045410,309.8170
SubwayRunnnerDynamicLighting.esp,12026BEF,00000010,MapMarker,STAT,18668.000000,-54706.000000,1076.000000,270.0000
SubwayRunnnerDynamicLighting.esp,12026BEE,00000034,XMarkerHeading,STAT,18790.000000,-54676.000000,1082.000000,268.3269
SubwayRunnnerDynamicLighting.esp,12026BED,00000034,XMarkerHeading,STAT,-25197.556641,-4040.453369,937.901001,325.6226
SubwayRunnnerDynamicLighting.esp,12026BEC,00000010,MapMarker,STAT,-25202.957031,-3861.083740,958.930298,274.0564
SubwayRunnnerDynamicLighting.esp,12026BE6,0002278E,UtilMetalDbDoorLoad01,DOOR,-25456.693359,-3847.330322,970.156738,91.5467
SubwayRunnnerDynamicLighting.esp,12026BDF,0002278E,UtilMetalDbDoorLoad01,DOOR,-55800.523437,73185.539062,6052.564453,130.0000
SubwayRunnnerDynamicLighting.esp,120251AC,0002278E,UtilMetalDbDoorLoad01,DOOR,18605.000000,-54710.000000,1082.000000,90.0000
SubwayRunnnerDynamicLighting.esp,1200A3CB,00000034,XMarkerHeading,STAT,-34743.882812,37139.812500,3271.638916,270.0000
SubwayRunnnerDynamicLighting.esp,1200A3CA,00000010,MapMarker,STAT,-34624.882812,37175.812500,3275.638916,91.0001
SubwayRunnnerDynamicLighting.esp,1200A3C8,0002278E,UtilMetalDbDoorLoad01,DOOR,-34550.882812,37175.812500,3280.638916,270.0000
SubwayRunnnerDynamicLighting.esp,12003D74,00000034,XMarkerHeading,STAT,-15168.000000,-32040.000000,1360.000000,183.3465
SubwayRunnnerDynamicLighting.esp,12003D73,00000010,MapMarker,STAT,-15168.000000,-32056.000000,1336.000000,0.0000
SubwayRunnnerDynamicLighting.esp,12003D72,0002278E,UtilMetalDbDoorLoad01,DOOR,-15113.943359,-32308.542969,1342.000000,355.0001
SubwayRunnnerDynamicLighting.esp,12000FBE,0003F039,QryStains256Rust01,TXST,-34661.882812,36898.812500,3341.638916,53.0001
SubwayRunnnerDynamicLighting.esp,12000FBD,00046E4C,QryStains256BLK01,TXST,-34669.882812,37533.812500,3354.638916,137.0001
SubwayRunnnerDynamicLighting.esp,000A93B0,00000010,MapMarker,STAT,29380.519531,-3039.500000,588.811890,0.0000
SubwayRunnnerDynamicLighting.esp,12039FBA,000DC8A9,SubLight01Off,STAT,9007.708008,3549.776611,140.000000,270.0001
SubwayRunnnerDynamicLighting.esp,12039FB9,000DC8A9,SubLight01Off,STAT,8323.998047,3774.622070,233.551544,90.0001
SubwayRunnnerDynamicLighting.esp,12039FB8,000DC8A9,SubLight01Off,STAT,3241.374023,-1095.999512,233.551544,0.0001
SubwayRunnnerDynamicLighting.esp,12039FB7,000DC8A9,SubLight01Off,STAT,3237.169434,-2763.999023,140.000000,0.0001
SubwayRunnnerDynamicLighting.esp,12039FB6,000DC8A9,SubLight01Off,STAT,3237.168945,-2144.000000,140.000000,0.0001
SubwayRunnnerDynamicLighting.esp,12039FB5,000DC8A9,SubLight01Off,STAT,2629.166992,-927.999512,132.000000,0.0001
SubwayRunnnerDynamicLighting.esp,12039FB4,000DC8A9,SubLight01Off,STAT,2629.167969,-415.999023,132.000000,0.0001
SubwayRunnnerDynamicLighting.esp,12039FB3,000DC8A9,SubLight01Off,STAT,7667.999512,4382.829102,132.000000,90.0001
SubwayRunnnerDynamicLighting.esp,12039FB2,000DC8A9,SubLight01Off,STAT,2891.999023,1476.000000,188.000000,93.3129
SubwayRunnnerDynamicLighting.esp,12039FB1,000DC8A9,SubLight01Off,STAT,2900.003418,844.001465,168.000000,93.3129
SubwayRunnnerDynamicLighting.esp,12039FB0,000DC8A9,SubLight01Off,STAT,2908.000977,228.000977,143.999481,93.3130
SubwayRunnnerDynamicLighting.esp,12039FAF,000DC8A9,SubLight01Off,STAT,6495.999023,4115.997070,195.999512,269.9975
SubwayRunnnerDynamicLighting.esp,12039FAE,000DC8A9,SubLight01Off,STAT,5903.999023,4115.997559,203.999512,269.9975
SubwayRunnnerDynamicLighting.esp,12039FAD,000DC8A9,SubLight01Off,STAT,5392.000977,4115.998535,215.999512,269.9975
SubwayRunnnerDynamicLighting.esp,12039FAC,000DC8A9,SubLight01Off,STAT,4839.508789,3965.570312,208.000000,269.9654
SubwayRunnnerDynamicLighting.esp,12039FAB,000DC8A9,SubLight01Off,STAT,4346.081543,3638.474609,208.000488,269.9654
SubwayRunnnerDynamicLighting.esp,12039FAA,000DC8A9,SubLight01Off,STAT,3926.000977,3359.999512,208.000000,269.9654
SubwayRunnnerDynamicLighting.esp,12039FA9,000DC8A9,SubLight01Off,STAT,3554.000977,2986.000000,208.000000,269.9057
SubwayRunnnerDynamicLighting.esp,12039FA8,000DC8A9,SubLight01Off,STAT,3259.131836,2427.005371,208.000000,269.9057
SubwayRunnnerDynamicLighting.esp,12039FA7,000DC8A9,SubLight01Off,STAT,2971.727051,1882.162109,208.000000,269.9057
SubwayRunnnerDynamicLighting.esp,12039FA6,00055F89,SubLight01,STAT,9627.708008,3549.775146,140.000000,270.0001
SubwayRunnnerDynamicLighting.esp,12039FA5,00055F89,SubLight01,STAT,7860.000000,3774.623291,233.551544,90.0001
SubwayRunnnerDynamicLighting.esp,12039FA4,00055F89,SubLight01,STAT,3241.373535,-1559.998535,233.551544,0.0001
SubwayRunnnerDynamicLighting.esp,12039FA3,00055F89,SubLight01,STAT,4084.859863,3788.041260,136.000000,57.2959
SubwayRunnnerDynamicLighting.esp,12039FA2,00055F89,SubLight01,STAT,3094.411621,2704.535645,136.000000,28.6480
SubwayRunnnerDynamicLighting.esp,12039FA1,00055F89,SubLight01,STAT,2629.166992,-1439.998535,132.000000,0.0001
