source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
SwitchBoard_Reborn.esp,FE044066,00000010,MapMarker,STAT,-38040.613281,41557.648438,3364.586426,0.0000
SwitchBoard_Reborn.esp,FE044FFE,000560D0,defaultLightCool01NS,LIGH,2834.613037,2802.113525,-1537.681274,0.0000
SwitchBoard_Reborn.esp,FE044FFC,000560D0,defaultLightCool01NS,LIGH,3499.809326,2901.419434,-1517.578613,0.0000
SwitchBoard_Reborn.esp,FE044FFB,000211C4,CoffeeCup01,MISC,3887.345703,52.703217,-1639.010010,335.0797
SwitchBoard_Reborn.esp,FE044FFA,000211C4,CoffeeCup01,MISC,5299.561523,1926.052002,-1893.158325,20.9163
SwitchBoard_Reborn.esp,FE044FF9,000211C4,CoffeeCup01,MISC,6120.246094,1479.045044,-1894.124268,335.0797
SwitchBoard_Reborn.esp,FE044FF8,000211C4,CoffeeCup01,MISC,4540.873047,1928.637207,-1663.010010,335.0797
SwitchBoard_Reborn.esp,FE044FF7,000211C4,CoffeeCup01,MISC,4575.688965,1933.747192,-1663.010010,358.6283
SwitchBoard_Reborn.esp,FE044FF6,000211C4,CoffeeCup01,MISC,3294.378662,1285.052490,-1638.112305,335.0797
SwitchBoard_Reborn.esp,FE044FF5,000F932D,BeerGwinnettBrew,ALCH,4715.231934,1961.383545,-1639.007202,0.0000
SwitchBoard_Reborn.esp,FE044FF4,0011EA9B,BeerGwinnettBrewEmpty01,MISC,6166.026367,1399.509277,-1894.131104,0.0000
SwitchBoard_Reborn.esp,FE044FF3,0011EA9B,BeerGwinnettBrewEmpty01,MISC,6161.393555,1387.066528,-1894.131104,0.0000
SwitchBoard_Reborn.esp,FE044FF2,000F932D,BeerGwinnettBrew,ALCH,6148.793457,1404.702393,-1894.131104,0.0000
SwitchBoard_Reborn.esp,FE044FF1,000F932D,BeerGwinnettBrew,ALCH,6133.106934,1396.223389,-1894.131104,0.0000
SwitchBoard_Reborn.esp,FE044FF0,000F932D,BeerGwinnettBrew,ALCH,6144.174805,1384.049072,-1894.131104,0.0000
SwitchBoard_Reborn.esp,FE044FEF,00048360,NukaColaCherry,ALCH,6141.152344,1490.250854,-1895.807495,0.0000
SwitchBoard_Reborn.esp,FE044FEE,00048360,NukaColaCherry,ALCH,3160.002441,1009.823669,-1640.182983,0.0000
SwitchBoard_Reborn.esp,FE044FED,0004835D,NukaCola,ALCH,4717.383789,1986.870728,-1640.683105,0.0000
SwitchBoard_Reborn.esp,FE044FEC,0004835D,NukaCola,ALCH,5031.023438,1819.450806,-1599.033447,0.0000
SwitchBoard_Reborn.esp,FE044FDC,000211F6,WoodCrate02,STAT,4782.880371,-1300.995605,-1439.010010,130.0158
