source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
Tumba_Gunner_Collection_Camp.esp,FE02E8DC,000821BD,MistLargeRoundDustyDim,MSTT,-102511.984375,7789.327637,7029.577148,270.0000
Tumba_Gunner_Collection_Camp.esp,FE02E8BD,0008E7C5,OilLampOn,STAT,-102513.000000,7790.000000,7011.000000,0.0000
Tumba_Gunner_Collection_Camp.esp,FE02E8BC,0008ADFA,defaultLightFire01NSFlicker,LIGH,-102511.984375,7789.327637,7029.577148,270.0000
Tumba_Gunner_Collection_Camp.esp,FE02E8BB,0008ADF9,defaultLightFire01Flicker,LIGH,-102511.984375,7789.327637,7086.095215,270.0000
Tumba_Gunner_Collection_Camp.esp,FE02E87B,00000021,CollisionMarker,STAT,-102559.218750,7809.763184,6882.000000,26.0001
Tumba_Gunner_Collection_Camp.esp,FE02E849,000655D6,Loot_Prewar_WoodCrate,CONT,-102474.179688,7661.748047,6927.559570,80.8327
Tumba_Gunner_Collection_Camp.esp,FE02E840,000F169E,NpcChairVaultSit02NoWait,FURN,-102416.117188,7723.126465,6927.559570,45.8367
Tumba_Gunner_Collection_Camp.esp,FE02E8FC,03001921,BuoyHook01,STAT,-100906.000000,5646.000000,7022.000000,110.0009
Tumba_Gunner_Collection_Camp.esp,FE02E8FB,0008ADFA,defaultLightFire01NSFlicker,LIGH,-100906.000000,5648.000000,6951.000000,129.0005
Tumba_Gunner_Collection_Camp.esp,FE02E8FA,0008ADF9,defaultLightFire01Flicker,LIGH,-100906.468750,5648.782227,6981.000000,126.0005
Tumba_Gunner_Collection_Camp.esp,FE02E8F9,000821BD,MistLargeRoundDustyDim,MSTT,-100906.453125,5648.918457,6962.000000,126.0005
Tumba_Gunner_Collection_Camp.esp,FE02E8F8,0015A0A7,OilLampOnHandleUp,STAT,-100905.617188,5648.233887,6963.000000,129.0005
Tumba_Gunner_Collection_Camp.esp,FE02E8F7,000821BD,MistLargeRoundDustyDim,MSTT,-101588.000000,5787.000000,7082.000000,96.0002
Tumba_Gunner_Collection_Camp.esp,FE02E8F6,0008ADFA,defaultLightFire01NSFlicker,LIGH,-101586.929688,5786.096680,7045.000000,96.0002
Tumba_Gunner_Collection_Camp.esp,FE02E8F5,0008ADF9,defaultLightFire01Flicker,LIGH,-101587.859375,5787.193359,7107.000000,96.0002
Tumba_Gunner_Collection_Camp.esp,FE02E8F4,03001921,BuoyHook01,STAT,-101586.000000,5785.000000,7148.000000,80.0006
Tumba_Gunner_Collection_Camp.esp,FE02E8F3,0015A0A7,OilLampOnHandleUp,STAT,-101586.812500,5787.109375,7089.000000,99.0002
Tumba_Gunner_Collection_Camp.esp,FE02E8F2,0012B52C,defaultLightFire01FlickerGoboWireBarrel,LIGH,-101401.000000,6174.000000,6964.000000,205.8650
Tumba_Gunner_Collection_Camp.esp,FE02E8F1,000C581B,defaultLightFire01NS,LIGH,-101392.085938,6168.407715,6992.443848,111.4909
Tumba_Gunner_Collection_Camp.esp,FE02E8F0,00048283,MetalBarrel01FireGrating_Static,STAT,-101396.703125,6167.958496,6898.635742,0.0000
Tumba_Gunner_Collection_Camp.esp,FE02E8EF,000821BD,MistLargeRoundDustyDim,MSTT,-101391.703125,6167.958496,6976.635742,0.0000
Tumba_Gunner_Collection_Camp.esp,FE02E8EE,000821BD,MistLargeRoundDustyDim,MSTT,-99656.000000,6572.000000,6768.000000,0.0000
