source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
Tumba_Gunner_Collection_Smuggler.esp,FE03D863,00000021,CollisionMarker,STAT,-7121.648437,35864.210938,2467.828369,207.0001
Tumba_Gunner_Collection_Smuggler.esp,FE03D862,00000021,CollisionMarker,STAT,-7182.179199,35673.449219,2409.594971,207.0001
Tumba_Gunner_Collection_Smuggler.esp,FE03D861,00000021,CollisionMarker,STAT,-7802.000000,35798.000000,2433.000000,250.0000
Tumba_Gunner_Collection_Smuggler.esp,FE03D860,00000021,CollisionMarker,STAT,-7607.000000,35596.000000,2477.000000,213.0000
Tumba_Gunner_Collection_Smuggler.esp,FE03D85F,00000021,CollisionMarker,STAT,-7730.000000,35604.000000,2489.000000,161.0000
Tumba_Gunner_Collection_Smuggler.esp,FE03D85E,00000021,CollisionMarker,STAT,-7111.000000,35679.000000,2509.240967,31.0002
Tumba_Gunner_Collection_Smuggler.esp,FE03D85D,00000021,CollisionMarker,STAT,-7658.000000,36015.000000,2504.166260,160.0000
Tumba_Gunner_Collection_Smuggler.esp,FE03D85C,00000021,CollisionMarker,STAT,-7852.992187,35699.007812,2481.000000,72.0000
Tumba_Gunner_Collection_Smuggler.esp,FE03D85B,00000021,CollisionMarker,STAT,-7752.000000,35926.000000,2504.000000,250.0000
Tumba_Gunner_Collection_Smuggler.esp,FE03D85A,00000021,CollisionMarker,STAT,-7140.000000,35957.000000,2506.104492,300.0000
Tumba_Gunner_Collection_Smuggler.esp,FE03D859,00035A10,WaxCandlePuddle03,STAT,-7166.000000,35669.000000,2424.000000,4.2380
Tumba_Gunner_Collection_Smuggler.esp,FE03D858,00035A10,WaxCandlePuddle03,STAT,-7165.964355,35674.171875,2424.000000,229.2385
Tumba_Gunner_Collection_Smuggler.esp,FE03D857,00035A10,WaxCandlePuddle03,STAT,-7171.061035,35666.339844,2424.000000,4.2380
Tumba_Gunner_Collection_Smuggler.esp,FE03D856,00035A0D,WaxCandlePuddle01,STAT,-7163.434570,35677.035156,2424.000000,246.9996
Tumba_Gunner_Collection_Smuggler.esp,FE03D855,00035A0D,WaxCandlePuddle01,STAT,-7170.800781,35662.500000,2424.000000,22.0002
Tumba_Gunner_Collection_Smuggler.esp,FE03D854,0002FACD,WaxCandle05Off,STAT,-7166.320801,35674.093750,2424.000000,246.9996
Tumba_Gunner_Collection_Smuggler.esp,FE03D853,0002FA29,WaxCandle05,STAT,-7170.823242,35666.613281,2424.000000,22.0002
Tumba_Gunner_Collection_Smuggler.esp,FE03D852,0002FA27,WaxCandle04,STAT,-7166.000000,35669.000000,2424.000000,202.0002
Tumba_Gunner_Collection_Smuggler.esp,FE03D851,0002FA27,WaxCandle04,STAT,-7158.882812,35676.199219,2424.000000,246.9996
Tumba_Gunner_Collection_Smuggler.esp,FE03D850,0002FA27,WaxCandle04,STAT,-7174.598145,35659.886719,2424.000000,22.0002
Tumba_Gunner_Collection_Smuggler.esp,FE03D84F,0002FA50,WaxCandle03,STAT,-7163.423828,35677.179688,2424.000000,292.0002
Tumba_Gunner_Collection_Smuggler.esp,FE03D84E,0002FA4E,WaxCandle01,STAT,-7170.683594,35662.390625,2424.000000,22.0002
Tumba_Gunner_Collection_Smuggler.esp,FE03D84D,0010A928,defaultLightCandle01FlickerNSNonSpec,LIGH,-7170.770020,35671.191406,2455.215820,22.0002
Tumba_Gunner_Collection_Smuggler.esp,FE03D84C,0003A32A,defaultLightCandle01FlickerNS,LIGH,-7170.770020,35671.191406,2442.903564,22.0002
Tumba_Gunner_Collection_Smuggler.esp,FE03D84B,00035A10,WaxCandlePuddle03,STAT,-7771.000000,35797.000000,2463.000000,170.2380
Tumba_Gunner_Collection_Smuggler.esp,FE03D84A,00035A0D,WaxCandlePuddle01,STAT,-7772.153320,35800.652344,2463.000000,188.0002
Tumba_Gunner_Collection_Smuggler.esp,FE03D849,0002FA29,WaxCandle05,STAT,-7771.136719,35796.660156,2463.000000,188.0002
Tumba_Gunner_Collection_Smuggler.esp,FE03D848,0002FA27,WaxCandle04,STAT,-7769.113281,35804.117188,2463.000000,188.0002
Tumba_Gunner_Collection_Smuggler.esp,FE03D847,0002FA4E,WaxCandle01,STAT,-7772.283203,35800.742188,2463.000000,188.0002
