source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
Tumba_MM_Armor_Collection.esp,FE04E0A3,FE04E0A2,Tumba_MM_EncRaider06,NPC_,-32190.005859,-85639.515625,2112.594971,0.0000
Tumba_MM_Armor_Collection.esp,FE04E090,FE04E061,Tumba_MM_PowerArmorFurnitureNoCore,FURN,45244.593750,-45887.484375,800.000244,47.0685
Tumba_MM_Armor_Collection.esp,FE04E0B8,FE04E097,Tumba_MM_MetalBox,CONT,803.024170,648.935242,0.000061,45.8367
Tumba_MM_Armor_Collection.esp,FE04E063,00038C1F,Loot_Raider_Trunk_Boss,CONT,870.604919,280.675964,-0.000031,269.9999
Tumba_MM_Armor_Collection.esp,FE04E062,FE04E061,Tumba_MM_PowerArmorFurnitureNoCore,FURN,828.182312,134.743057,0.000000,270.0000
Tumba_MM_Armor_Collection.esp,FE04E059,00075FE4,AmmoFusionCore,AMMO,658.077148,-49.731598,0.000000,0.0000
Tumba_MM_Armor_Collection.esp,FE04E058,0013BD08,WorkbenchPowerArmorSmall,FURN,828.819458,133.896912,0.837393,269.7593
Tumba_MM_Armor_Collection.esp,FE04E046,0012DC30,AirportFloor01,STAT,872.834900,603.339111,0.000000,0.0000
Tumba_MM_Armor_Collection.esp,FE04E045,0012DC30,AirportFloor01,STAT,872.834900,91.339134,0.000000,0.0000
Tumba_MM_Armor_Collection.esp,FE04E022,0012EA9B,WorkbenchArmorA,FURN,815.171143,513.177490,0.000087,87.3761
Tumba_MM_Armor_Collection.esp,FE04E021,FE04E020,Tumba_MM_Trunk,CONT,1031.320557,581.838684,0.000000,0.0000
Tumba_MM_Armor_Collection.esp,FE04E004,00000032,COCMarkerHeading,STAT,941.299438,360.810089,168.976089,200.5352
Tumba_MM_Armor_Collection.esp,FE04EF9E,FE04EF9D,Tumba_VendorMinutemenArmor,CONT,200.577728,-139.635025,0.000000,0.0000
