source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
Tumba_SynthArmorCollection.esp,FE0980A1,FE0980A0,SynthArmorCollection_TalkingActivator_Tumba,TACT,31176.052734,25496.421875,931.305908,96.4861
Tumba_SynthArmorCollection.esp,FE09809E,0000003B,XMarker,STAT,31192.962891,25506.203125,908.192627,0.0000
Tumba_SynthArmorCollection.esp,FE09809D,000E4610,EnableMarker,STAT,31200.873047,25546.849609,981.151062,73.9116
Tumba_SynthArmorCollection.esp,FE09809B,001E7820,Loot_AmmoBoxInstituteGreen01,CONT,31162.470703,25547.556641,907.231445,57.8689
Tumba_SynthArmorCollection.esp,FE09809A,FE09809C,DefaultTerminalDesk_SynthArmorCollection_Tumba,TERM,31183.361328,25496.203125,851.455383,274.1710
Tumba_SynthArmorCollection.esp,FE098099,001A6E48,HighTechDesk01_Dirty,CONT,31167.324219,25526.697266,851.208740,250.1641
Tumba_SynthArmorCollection.esp,FE09801A,FE098015,Synth_Locker_01_Tumba,CONT,114.347115,182.242661,0.000000,22.5746
Tumba_SynthArmorCollection.esp,FE098019,00000032,COCMarkerHeading,STAT,1.756266,-66.355675,10.198755,0.0000
Tumba_SynthArmorCollection.esp,FE098018,0012EA9B,WorkbenchArmorA,FURN,-149.686020,180.978745,0.000000,0.0000
Tumba_SynthArmorCollection.esp,FE098017,0012DC30,AirportFloor01,STAT,0.000000,0.000000,0.000000,0.0000
