source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
Vault 111 - After the Fallout REDUX.esp,FE04A028,001ED581,RoadSCJunkWall02,SCOL,-88592.031250,89618.875000,8824.075195,154.6987
Vault 111 - After the Fallout REDUX.esp,FE04AC6A,00000021,CollisionMarker,STAT,-90995.109375,91854.953125,8827.321289,85.9437
Vault 111 - After the Fallout REDUX.esp,FE04AC69,00000021,CollisionMarker,STAT,-90282.382812,92149.976562,8813.537109,275.0198
Vault 111 - After the Fallout REDUX.esp,FE04AC68,001ED581,RoadSCJunkWall02,SCOL,-90983.218750,91841.843750,8714.352539,85.9437
Vault 111 - After the Fallout REDUX.esp,FE04AC63,001ED580,RoadSCJunkWall01,SCOL,-90291.265625,92155.265625,8707.537109,275.0198
Vault 111 - After the Fallout REDUX.esp,FE04AC62,00000021,CollisionMarker,STAT,-91378.804688,90315.687500,8953.046875,307.2331
Vault 111 - After the Fallout REDUX.esp,FE04AC61,000AEEC6,Vertibird03RightWing,STAT,-91368.593750,90319.070312,8947.979492,307.2331
Vault 111 - After the Fallout REDUX.esp,FE04AC60,00000021,CollisionMarker,STAT,-90546.226562,91124.335938,8806.304688,313.7808
Vault 111 - After the Fallout REDUX.esp,FE04AC5F,00000021,CollisionMarker,STAT,-90528.789062,90732.460938,8944.799805,344.8231
Vault 111 - After the Fallout REDUX.esp,FE04AC5E,000AEEC5,Vertibird03LeftWing,STAT,-90492.773438,90651.882812,8993.962891,344.8231
Vault 111 - After the Fallout REDUX.esp,FE04AC5D,000A8478,Vertibird03,STAT,-90841.804688,91100.382812,8650.342773,313.7808
Vault 111 - After the Fallout REDUX.esp,FE04AC5A,00000021,CollisionMarker,STAT,-91993.820312,90478.218750,8797.312500,54.2898
Vault 111 - After the Fallout REDUX.esp,FE04AC59,00000021,CollisionMarker,STAT,-91710.695312,90405.679688,8838.465820,158.4410
Vault 111 - After the Fallout REDUX.esp,FE04AC58,00000021,CollisionMarker,STAT,-91465.296875,90771.554688,8787.115234,143.1898
Vault 111 - After the Fallout REDUX.esp,FE04AC57,00054CB0,CarMini01Static,STAT,-91983.804688,90488.609375,8783.673828,54.2898
Vault 111 - After the Fallout REDUX.esp,FE04AC55,00183EAF,PickUpTruck02A_Static,STAT,-91692.000000,90410.085938,8785.885742,158.4410
Vault 111 - After the Fallout REDUX.esp,FE04AC53,001B4971,CarCoupe05_Static,STAT,-91444.125000,90787.476562,8775.028320,143.1898
Vault 111 - After the Fallout REDUX.esp,FE04A029,000CE935,JunkWallCorner01,STAT,-90658.117188,93600.296875,8648.415039,34.3776
Vault 111 - After the Fallout REDUX.esp,FE04A027,0008E470,SkeletonClothedArmy01,MSTT,-90777.445312,90865.734375,8865.545898,325.6227
Vault 111 - After the Fallout REDUX.esp,FE04A026,00004822,10mm,WEAP,-91310.046875,90937.093750,8843.119141,117.8626
Vault 111 - After the Fallout REDUX.esp,FE04A025,00004822,10mm,WEAP,-91133.031250,90818.312500,8785.066406,212.4245
Vault 111 - After the Fallout REDUX.esp,FE04A024,00004822,10mm,WEAP,-91306.429688,91136.234375,8771.669922,317.2762
Vault 111 - After the Fallout REDUX.esp,FE04A023,0008E470,SkeletonClothedArmy01,MSTT,-91330.828125,91117.546875,8781.344727,120.3211
Vault 111 - After the Fallout REDUX.esp,FE04A022,0008E471,SkeletonClothedArmy02,MSTT,-91107.687500,90792.757812,8801.213867,28.6479
Vault 111 - After the Fallout REDUX.esp,FE04A021,001A4D44,SkeletonClothedF05,MSTT,-91618.789062,90455.398438,8906.035156,358.5015
Vault 111 - After the Fallout REDUX.esp,FE04A020,001A4D41,SkeletonClothedM04,MSTT,-92095.367188,90639.171875,8846.327148,337.5395
Vault 111 - After the Fallout REDUX.esp,FE04A01F,001A4D45,SkeletonClothedF04,MSTT,-91412.476562,90819.812500,8865.496094,327.6325
Vault 111 - After the Fallout REDUX.esp,FE04A01E,0008E471,SkeletonClothedArmy02,MSTT,-91255.062500,90918.625000,8844.334961,212.3843
Vault 111 - After the Fallout REDUX.esp,FE04A016,0001820C,MetalTable01,STAT,-90139.593750,90856.617188,8877.366211,207.2282
Vault 111 - After the Fallout REDUX.esp,FE04A013,00000021,CollisionMarker,STAT,-90127.031250,90601.523438,8962.864258,131.7804
Vault 111 - After the Fallout REDUX.esp,FE04A012,002039FC,RaiderCampTent06Static,STAT,-90127.039062,90601.523438,8962.864258,131.7804
Vault 111 - After the Fallout REDUX.esp,0008199A,000F6BFA,ConstructionBarrier01Dest,MSTT,-90953.320312,90915.257812,8824.250000,154.2892
Vault 111 - After the Fallout REDUX.esp,0008198F,000F676A,ConstructionBarrier02Dest,MSTT,-90289.968750,92036.601562,8761.619141,157.7373
Vault 111 - After the Fallout REDUX.esp,00081985,00024843,TrafficCone,MSTT,-90473.687500,91036.023438,8855.362305,302.4921
Vault 111 - After the Fallout REDUX.esp,00081983,000F6BFA,ConstructionBarrier01Dest,MSTT,-90435.828125,90974.039062,8885.114258,350.7046
Vault 111 - After the Fallout REDUX.esp,00081982,000F6BFA,ConstructionBarrier01Dest,MSTT,-90387.976562,90968.648438,8885.555664,58.1239
