source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
VerticalSpawns light Version.esp,24001196,0015BDD3,LvlGunnerShotgunAggro1024b,NPC_,59848.960937,98388.312500,2864.019043,21.0000
VerticalSpawns light Version.esp,24001195,001CC462,LvlGunnerShotgunAggro2048,NPC_,59968.890625,98523.921875,2864.069092,21.0000
VerticalSpawns light Version.esp,24001194,001CC45A,LvlGunnerAutoAggro2048,NPC_,60152.070312,98563.320312,2864.101074,21.0000
VerticalSpawns light Version.esp,24001188,000DE968,LvlGunnerMissileLauncher,NPC_,59556.531250,84454.757812,2899.306885,205.0000
VerticalSpawns light Version.esp,24001187,001CC45A,LvlGunnerAutoAggro2048,NPC_,59734.359375,84401.109375,2867.843018,205.0000
VerticalSpawns light Version.esp,2400118E,0015D4D3,LvlGunnerAutoAggro1024,NPC_,59477.171875,92520.328125,2831.361084,4.0000
VerticalSpawns light Version.esp,2400118C,00075345,LvlGunnerBoss,NPC_,59833.218750,92295.343750,2857.105957,4.0000
VerticalSpawns light Version.esp,2400119A,001CC45A,LvlGunnerAutoAggro2048,NPC_,60307.031250,97965.882812,3376.014893,211.0000
VerticalSpawns light Version.esp,24001198,00075345,LvlGunnerBoss,NPC_,60610.128906,97790.882812,3376.032959,207.0000
VerticalSpawns light Version.esp,24001197,0004CE40,LvlGunnerBoss_PowerArmor,NPC_,60657.089844,97615.843750,3392.019043,207.0000
VerticalSpawns light Version.esp,24001191,001ABE5F,LvlGunnerBoss_PowerArmorAggro1024,NPC_,60502.070312,98213.296875,2864.020996,21.0000
VerticalSpawns light Version.esp,24001183,0007050B,LvlGunnerSniper,NPC_,57887.460937,54825.339844,2054.916992,7.0000
VerticalSpawns light Version.esp,24001182,001CC45A,LvlGunnerAutoAggro2048,NPC_,58056.429687,54878.921875,2054.925049,7.0000
VerticalSpawns light Version.esp,24001181,000DE965,LvlGunnerAuto,NPC_,58188.949219,54840.910156,2058.218994,7.0000
VerticalSpawns light Version.esp,24000A57,00083AD6,LvlTriggerman,NPC_,32879.179687,2807.866943,1475.196045,297.0000
VerticalSpawns light Version.esp,24000A56,00083AD6,LvlTriggerman,NPC_,32788.039062,2897.362061,1443.069946,289.0000
VerticalSpawns light Version.esp,24000A53,00083AD6,LvlTriggerman,NPC_,32880.890625,3234.339111,1374.842041,288.0000
VerticalSpawns light Version.esp,24000A52,00083AD6,LvlTriggerman,NPC_,33004.871094,3269.063965,1426.134033,288.0000
VerticalSpawns light Version.esp,24000A50,00083AD6,LvlTriggerman,NPC_,33221.609375,3143.653076,1426.176025,288.0000
VerticalSpawns light Version.esp,24000A4E,00083AD6,LvlTriggerman,NPC_,33189.718750,1104.818970,1631.791992,328.0000
VerticalSpawns light Version.esp,24000A4D,00083AD6,LvlTriggerman,NPC_,33115.230469,1200.813965,1635.083008,319.0000
