source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
W.A.T.Minutemen.esp,27061554,0000003B,XMarker,STAT,-84957.320312,-59400.656250,2731.047852,0.0000
W.A.T.Minutemen.esp,27061553,0000003B,XMarker,STAT,-24426.005859,57008.226562,1975.283447,0.0000
W.A.T.Minutemen.esp,27061552,0000003B,XMarker,STAT,-77421.679688,-26270.445312,3367.405029,0.0000
W.A.T.Minutemen.esp,27061551,0000003B,XMarker,STAT,-10144.808594,28305.273437,935.028748,0.0000
W.A.T.Minutemen.esp,27061550,0000003B,XMarker,STAT,3702.533447,-54936.320312,861.312744,0.0000
W.A.T.Minutemen.esp,27070135,270008E1,EncMinutemenFaceM15,NPC_,-703.226562,-183.582458,-32.000031,0.0000
W.A.T.Minutemen.esp,27070134,270008E0,EncMinutemenFaceM14,NPC_,-577.901001,-183.582458,-32.000031,0.0000
W.A.T.Minutemen.esp,27070133,270008DF,EncMinutemenFaceM13,NPC_,-477.515015,-183.582458,-32.000031,0.0000
W.A.T.Minutemen.esp,27070132,270008DE,EncMinutemenFaceM12,NPC_,-377.300507,-183.582458,-32.000031,0.0000
W.A.T.Minutemen.esp,27070131,2700085D,EncMinutemenFaceM11,NPC_,-280.501831,-183.582458,-32.000031,0.0000
W.A.T.Minutemen.esp,27070130,2700085B,EncMinutemenFaceM10,NPC_,-1249.158203,-183.582458,-32.000031,0.0000
W.A.T.Minutemen.esp,2707012F,2700085E,EncMinutemenFaceM09,NPC_,-1145.827148,-183.582458,-32.000031,0.0000
W.A.T.Minutemen.esp,2707012E,2700085A,EncMinutemenFaceM08,NPC_,604.760071,-183.582458,-32.000031,0.0000
W.A.T.Minutemen.esp,2707012D,27000859,EncMinutemenFaceM07,NPC_,393.033569,-183.582458,-32.000031,0.0000
W.A.T.Minutemen.esp,2707012C,0024A037,EncMinutemenFaceM06b,NPC_,-1359.666016,-183.582458,-32.000031,0.0000
W.A.T.Minutemen.esp,2707012B,001BF0B3,EncMinutemenFaceM06,NPC_,504.246643,-183.582458,-32.000031,0.0000
W.A.T.Minutemen.esp,2707012A,0024A036,EncMinutemenFaceM05b,NPC_,180.992950,-183.582458,-32.000031,0.0000
W.A.T.Minutemen.esp,27070129,001BF0B2,EncMinutemenFaceM05,NPC_,284.991821,-183.582458,-32.000031,0.0000
W.A.T.Minutemen.esp,27070128,0024A035,EncMinutemenFaceM04b,NPC_,-936.740051,-183.582458,-32.000031,0.0000
W.A.T.Minutemen.esp,27070127,001BF0B1,EncMinutemenFaceM04,NPC_,-806.582703,-183.582458,-32.000031,0.0000
W.A.T.Minutemen.esp,27070126,0024A034,EncMinutemenFaceM03b,NPC_,708.960571,-183.582458,-32.000031,0.0000
W.A.T.Minutemen.esp,27070125,001BF0B0,EncMinutemenFaceM03,NPC_,-1040.925781,-183.582458,-32.000031,0.0000
W.A.T.Minutemen.esp,27070124,0024A033,EncMinutemenFaceM02b,NPC_,-189.792847,-183.582458,-32.000031,0.0000
W.A.T.Minutemen.esp,27070123,001BF0AF,EncMinutemenFaceM02,NPC_,-100.531601,-183.582458,-32.000031,0.0000
W.A.T.Minutemen.esp,27070122,0024A032,EncMinutemenFaceM01b,NPC_,2.332611,-183.582458,-32.000031,0.0000
W.A.T.Minutemen.esp,27070121,001BF0AE,EncMinutemenFaceM01,NPC_,98.980347,-183.582458,-32.000031,0.0000
W.A.T.Minutemen.esp,27070120,2706F97B,EncMinutemenFaceF06,NPC_,-140.144135,-868.065613,-32.000008,0.0000
W.A.T.Minutemen.esp,2707011F,2700085C,EncMinutemenFaceF05,NPC_,123.614059,-868.065613,-32.000008,0.0000
W.A.T.Minutemen.esp,2707011E,27000858,EncMinutemenFaceF04,NPC_,212.239227,-868.065613,-32.000008,0.0000
W.A.T.Minutemen.esp,2707011D,0024A031,EncMinutemenFaceF03b,NPC_,-227.524826,-868.065613,-32.000008,0.0000
W.A.T.Minutemen.esp,2707011C,001BF0AD,EncMinutemenFaceF03,NPC_,-312.911194,-868.065613,-32.000008,0.0000
W.A.T.Minutemen.esp,2707011B,0024A030,encMinutemenFaceF02b,NPC_,-468.143280,-868.065613,-32.000008,0.0000
W.A.T.Minutemen.esp,2707011A,001BF0AC,encMinutemenFaceF02,NPC_,-392.715210,-868.065613,-32.000008,0.0000
W.A.T.Minutemen.esp,27070119,0024A02F,EncMinutemenFaceF01b,NPC_,-48.489792,-868.065613,-32.000008,0.0000
W.A.T.Minutemen.esp,27070118,001BF0AB,EncMinutemenFaceF01,NPC_,37.555389,-868.065613,-32.000008,0.0000
W.A.T.Minutemen.esp,00162767,27057D23,Loot_CorpseDN068MinutemanMale02,NPC_,-1312.418335,-6.692338,89.797302,159.7256
