source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
WANYA_LootableTerminals.esl,FE01530E,FE015F9C,WANYA_cntn_Terminal04,CONT,3262.129150,6.801744,545.155518,22.9185
WANYA_LootableTerminals.esl,FE01530D,FE015F9C,WANYA_cntn_Terminal04,CONT,3697.200684,140.600525,80.691406,174.0106
WANYA_LootableTerminals.esl,FE01530C,FE015F9C,WANYA_cntn_Terminal04,CONT,3352.334229,11.114093,649.968018,263.5606
WANYA_LootableTerminals.esl,FE01530B,FE015F9B,WANYA_cntn_Terminal03,CONT,3392.620605,-65.588173,649.968018,177.6169
WANYA_LootableTerminals.esl,FE01530A,FE015F9B,WANYA_cntn_Terminal03,CONT,3262.566895,11.021646,610.474609,177.6169
WANYA_LootableTerminals.esl,FE015309,FE015F9B,WANYA_cntn_Terminal03,CONT,3075.316895,491.272797,1368.500000,279.7518
WANYA_LootableTerminals.esl,FE015308,FE015F9B,WANYA_cntn_Terminal03,CONT,3563.162109,-92.421577,1362.386719,57.6507
WANYA_LootableTerminals.esl,FE015307,FE015F9B,WANYA_cntn_Terminal03,CONT,4044.744385,-92.465576,343.710938,358.4350
WANYA_LootableTerminals.esl,FE015306,FE015F9B,WANYA_cntn_Terminal03,CONT,4103.420898,-88.034363,363.901001,89.3152
WANYA_LootableTerminals.esl,FE015305,FE015F9B,WANYA_cntn_Terminal03,CONT,4212.087402,163.556091,343.224609,89.9999
WANYA_LootableTerminals.esl,FE015304,FE015F9B,WANYA_cntn_Terminal03,CONT,3412.690186,410.452454,600.000000,204.3850
WANYA_LootableTerminals.esl,FE015303,FE015F9B,WANYA_cntn_Terminal03,CONT,3687.490967,140.512817,44.726562,175.1068
WANYA_LootableTerminals.esl,FE015302,FE015F9B,WANYA_cntn_Terminal03,CONT,4471.419922,603.774414,-423.499878,349.3775
WANYA_LootableTerminals.esl,FE015301,FE015F9B,WANYA_cntn_Terminal03,CONT,4074.430664,634.232910,-469.184570,194.7399
WANYA_LootableTerminals.esl,FE015300,FE015F9B,WANYA_cntn_Terminal03,CONT,4101.270020,511.266296,-423.499756,332.1888
WANYA_LootableTerminals.esl,FE0152FF,FE015F9B,WANYA_cntn_Terminal03,CONT,4043.633789,950.224487,-457.037109,269.3680
WANYA_LootableTerminals.esl,FE0152FE,FE015F9B,WANYA_cntn_Terminal03,CONT,3993.283691,1041.919922,-423.782349,69.5916
WANYA_LootableTerminals.esl,FE0152FD,FE015F9B,WANYA_cntn_Terminal03,CONT,4466.842773,678.884033,-423.499878,160.3015
WANYA_LootableTerminals.esl,FE0152FC,FE015F9B,WANYA_cntn_Terminal03,CONT,3337.805420,-35.667725,545.155518,97.4030
WANYA_LootableTerminals.esl,FE0152FB,FE015F9C,WANYA_cntn_Terminal04,CONT,5601.280273,2140.632324,333.738495,105.0000
WANYA_LootableTerminals.esl,FE0152FA,FE015F9B,WANYA_cntn_Terminal03,CONT,5042.544434,2141.461426,568.500000,224.0477
WANYA_LootableTerminals.esl,FE0152F9,FE015F9B,WANYA_cntn_Terminal03,CONT,5531.000000,2287.000000,568.573608,330.6183
WANYA_LootableTerminals.esl,FE0152F8,FE015F9C,WANYA_cntn_Terminal04,CONT,1917.258789,1696.541260,184.785645,238.0174
WANYA_LootableTerminals.esl,FE0152F7,FE015F9C,WANYA_cntn_Terminal04,CONT,2224.193848,2567.595459,184.500000,90.8319
