source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
ccBGSFO4044-HellfirePowerArmor.esl,FE00086B,0020ED03,LvlForged_Burned,NPC_,42731.164062,56528.835937,2389.552246,40.1071
ccBGSFO4044-HellfirePowerArmor.esl,FE00086A,FE000852,ccBGSFO4044_LvlForgedBoss_HellfirePowerArmor01,NPC_,42150.851562,56946.328125,2294.561523,74.4845
ccBGSFO4044-HellfirePowerArmor.esl,FE000869,000E1B85,SkeletonBareBodyHeadless,MSTT,42753.871094,56610.125000,2387.313477,0.0000
ccBGSFO4044-HellfirePowerArmor.esl,FE000868,000E1B85,SkeletonBareBodyHeadless,MSTT,43015.214844,56705.097656,2296.778564,355.2662
ccBGSFO4044-HellfirePowerArmor.esl,FE000867,0013101C,LvlForged,NPC_,43263.453125,56969.707031,2262.701660,143.2394
ccBGSFO4044-HellfirePowerArmor.esl,FE000866,000E1B85,SkeletonBareBodyHeadless,MSTT,42852.546875,56717.402344,2337.758789,66.1061
ccBGSFO4044-HellfirePowerArmor.esl,FE000865,001A4D41,SkeletonClothedM04,MSTT,42798.593750,56773.992187,2341.777100,0.0000
ccBGSFO4044-HellfirePowerArmor.esl,FE000864,000E1B85,SkeletonBareBodyHeadless,MSTT,42909.625000,56777.113281,2327.181152,138.0699
ccBGSFO4044-HellfirePowerArmor.esl,FE000863,0008B675,SkeletonBareBody01,MSTT,42720.968750,56714.785156,2365.370605,0.0000
ccBGSFO4044-HellfirePowerArmor.esl,FE000862,001EDF03,RaiderCampPole06,STAT,42888.023438,56992.062500,2321.561279,325.6227
ccBGSFO4044-HellfirePowerArmor.esl,FE000861,000C581B,defaultLightFire01NS,LIGH,42845.093750,56777.687500,2490.722656,0.0000
ccBGSFO4044-HellfirePowerArmor.esl,FE000860,001EDF03,RaiderCampPole06,STAT,42615.734375,56695.046875,2381.123535,148.9690
ccBGSFO4044-HellfirePowerArmor.esl,FE00085F,001EDEF2,RaiderCampCage01,STAT,42503.015625,56523.648437,2544.196533,0.0000
ccBGSFO4044-HellfirePowerArmor.esl,FE00085E,001DA025,FXFireMed01,MSTT,42749.648438,56817.703125,2338.553711,0.0000
ccBGSFO4044-HellfirePowerArmor.esl,FE00085D,001CCDA1,BlastedForestBurntBranchPile01,STAT,42773.492188,56780.726562,2374.446777,0.0000
ccBGSFO4044-HellfirePowerArmor.esl,FE00085C,00002CE2,PatrolIdleMarker,IDLM,42184.117188,56821.925781,2332.064453,189.0761
ccBGSFO4044-HellfirePowerArmor.esl,FE00085B,00002CE2,PatrolIdleMarker,IDLM,42922.312500,57622.726562,2175.227783,63.0255
ccBGSFO4044-HellfirePowerArmor.esl,FE00085A,0005DD9B,NPCStandingInvGuardPost,FURN,43199.253906,56922.394531,2253.556152,137.5099
ccBGSFO4044-HellfirePowerArmor.esl,FE000859,001B40BD,NPCHandWarmingStanding,FURN,42675.394531,56582.882812,2380.882812,34.3775
