source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
ccFSVFO4007-Halloween.esl,FE00579E,0015CC87,CarpetRectangle01,STAT,1717.044189,2557.123535,311.101257,355.0009
ccFSVFO4007-Halloween.esl,FE005784,00076B55,BldWoodBBgWallPlugBBotDblDoor01,STAT,1587.444214,2544.301270,312.000000,355.0009
ccFSVFO4007-Halloween.esl,FE00578E,001FA262,defaultLightCandle01FlickerNSGoboBounce01,LIGH,1722.848999,2504.170898,414.828400,0.0001
ccFSVFO4007-Halloween.esl,FE00578D,0003A32A,defaultLightCandle01FlickerNS,LIGH,1686.354248,2381.860596,324.387268,0.0000
ccFSVFO4007-Halloween.esl,FE00578C,FE005351,ccFSVFO4007_PlasticJackOLantern01Static,STAT,1685.324829,2380.196533,310.187225,252.1015
ccFSVFO4007-Halloween.esl,FE00578B,001D4132,LooseBoard04,MSTT,1766.819458,2418.953125,317.798462,273.5476
ccFSVFO4007-Halloween.esl,FE00578A,001D4131,LooseBoard03,MSTT,1728.729858,2423.459961,315.474731,250.5973
ccFSVFO4007-Halloween.esl,FE005789,001D4130,LooseBoard02,MSTT,1754.917603,2526.699463,316.323059,61.4903
ccFSVFO4007-Halloween.esl,FE005788,001D412F,LooseBoard01,MSTT,1727.392456,2536.473145,313.115479,107.3504
ccFSVFO4007-Halloween.esl,FE005787,000D4461,BldDecoSmFlrOnlyRailBase1Way01,STAT,1603.422241,2544.701416,486.946960,175.0009
ccFSVFO4007-Halloween.esl,FE005786,00032113,DecoLobbyA1x1ColumnCor01,STAT,1567.342407,2646.054688,233.276550,175.0009
ccFSVFO4007-Halloween.esl,FE005785,00032113,DecoLobbyA1x1ColumnCor01,STAT,1587.618652,2441.422119,233.276550,265.0009
ccFSVFO4007-Halloween.esl,FE005783,0001D931,BldWoodPDbDoorLoad01,DOOR,1587.444214,2544.301270,312.000000,355.0009
ccFSVFO4007-Halloween.esl,FE005013,0001B7BB,BldWoodPMdWallPlugBBotDblDoor01,STAT,-2448.000000,2192.000000,264.000000,180.0000
ccFSVFO4007-Halloween.esl,FE00581E,00023477,BounceAmbPurple,LIGH,-1144.282104,1602.976318,504.814178,0.0000
ccFSVFO4007-Halloween.esl,FE00581D,FE005819,ccFSVFO4007_SpiderWebLight02Static,STAT,-1136.636597,1567.521484,506.414551,180.0000
ccFSVFO4007-Halloween.esl,FE00581C,00064902,InstituteLightOrange01NSNonSpec,LIGH,-2049.993896,1896.084717,390.400970,0.0000
ccFSVFO4007-Halloween.esl,FE00581B,00064902,InstituteLightOrange01NSNonSpec,LIGH,-2113.396973,1828.293945,424.528412,0.0000
ccFSVFO4007-Halloween.esl,FE00581A,FE005818,ccFSVFO4007_SpiderWebLight01Static,STAT,-2112.446045,1810.793335,429.294739,180.0000
ccFSVFO4007-Halloween.esl,FE005012,0015799C,BookBurnt01,MISC,-2224.000000,2304.000000,336.000000,315.6381
ccFSVFO4007-Halloween.esl,FE005812,00101187,defaultLightWarm02NSNonSpec,LIGH,-856.117737,124.458328,399.219147,0.0000
ccFSVFO4007-Halloween.esl,FE0054A5,00082E0A,BldBrickSmCeilOnly01,STAT,-400.000000,2704.000000,265.999969,90.0000
ccFSVFO4007-Halloween.esl,FE0050A1,0015CC85,CarpetEdging07,STAT,-1076.328003,2128.817627,264.150726,270.0001
ccFSVFO4007-Halloween.esl,FE005257,0015CC83,CarpetEdging05,STAT,-951.930664,2129.386719,264.434326,270.0001
ccFSVFO4007-Halloween.esl,FE005011,0010693D,Rubble_Flat_Trash_Sm03,STAT,-2144.000000,1904.000000,272.000000,90.0000
ccFSVFO4007-Halloween.esl,FE00580E,000787D9,Clothes_Raider_Goggles,ARMO,-521.964050,189.253357,328.000000,137.5099
ccFSVFO4007-Halloween.esl,FE0053D6,0001D1BA,DebrisPile03Trash,STAT,-425.954712,2648.000000,264.000000,90.0000
