source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
ccOTMFO4001-Remnants.esl,FE0082C8,FE008214,ccOTMFO4001_workshop_EnclaveRamp01,STAT,-14936.127930,-101452.421875,1633.856445,66.7825
ccOTMFO4001-Remnants.esl,FE008204,FE0081FE,ccOTMFO4001_PerkMagEnclaveEntrenchmentManual01,BOOK,-14538.115234,-101036.476562,1633.894409,285.5156
ccOTMFO4001-Remnants.esl,FE008355,000D96C5,NPCKneelWrenchHorizontal,FURN,-14221.705078,-100545.085938,1546.399902,262.5973
ccOTMFO4001-Remnants.esl,FE008354,00024572,NPCInvWallLean01,FURN,-13958.754883,-101162.914062,1552.299072,77.9796
ccOTMFO4001-Remnants.esl,FE008353,000D96C3,NPCKneelWrenchVertical,FURN,-14649.956055,-101400.390625,1619.111816,148.0057
ccOTMFO4001-Remnants.esl,FE008352,000D96C9,NPCStandHammerVertical,FURN,-15021.448242,-101065.187500,1638.114746,233.9494
ccOTMFO4001-Remnants.esl,FE008351,001D2A85,NPCLaserCutterStanding,FURN,-14678.429687,-100944.765625,1594.143188,205.3015
ccOTMFO4001-Remnants.esl,FE008350,0002D19D,NavBlocker,ACTI,-13805.981445,-101758.367188,1624.863037,224.7249
ccOTMFO4001-Remnants.esl,FE00834F,000F17EE,IndCatLight02On,STAT,-14472.638672,-101510.125000,1599.963257,94.4093
ccOTMFO4001-Remnants.esl,FE00834E,0008E797,defaultLightCool03NS,LIGH,-14468.083008,-101483.343750,1691.045410,275.5706
ccOTMFO4001-Remnants.esl,FE00834D,001017F7,defaultLightCool03NSNonSpec,LIGH,-14462.026367,-101482.898438,1710.538696,275.5706
ccOTMFO4001-Remnants.esl,FE00834C,001C9080,MistLargeRoundDustyDimmer,MSTT,-14463.098633,-101486.085938,1694.292725,6.0823
ccOTMFO4001-Remnants.esl,FE00834B,000F17EE,IndCatLight02On,STAT,-14005.383789,-101255.132812,1555.164917,303.1587
ccOTMFO4001-Remnants.esl,FE00834A,0008E797,defaultLightCool03NS,LIGH,-14013.680664,-101280.546875,1646.387329,122.2464
ccOTMFO4001-Remnants.esl,FE008349,001017F7,defaultLightCool03NSNonSpec,LIGH,-14017.314453,-101278.851562,1666.405396,122.2464
ccOTMFO4001-Remnants.esl,FE008348,001C9080,MistLargeRoundDustyDimmer,MSTT,-14016.348633,-101275.867188,1650.117310,214.8317
ccOTMFO4001-Remnants.esl,FE008347,000F17EE,IndCatLight02On,STAT,-14505.107422,-100655.617188,1563.126343,185.3536
ccOTMFO4001-Remnants.esl,FE008346,0008E797,defaultLightCool03NS,LIGH,-14478.770508,-100651.109375,1654.348755,5.5140
ccOTMFO4001-Remnants.esl,FE008345,001017F7,defaultLightCool03NSNonSpec,LIGH,-14478.576172,-100655.101562,1674.366821,5.5140
