source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
community fixes merged.esp,001BE408,001BE407,CovenantCat,NPC_,-6132.692383,47281.890625,1139.824829,270.0000
community fixes merged.esp,00107AEC,00107AE9,FarmCatAbernathy,NPC_,-76803.546875,67733.078125,7529.000000,0.0000
community fixes merged.esp,001642D5,001254E2,WorkshopGuardMarker,FURN,49725.148438,-49241.125000,1312.755615,202.4366
community fixes merged.esp,001642D4,001254E2,WorkshopGuardMarker,FURN,48780.835938,-48749.207031,1317.681641,189.2588
community fixes merged.esp,001642DB,001254E2,WorkshopGuardMarker,FURN,48622.406250,-45189.222656,1298.920044,231.6574
community fixes merged.esp,001642E1,001254E2,WorkshopGuardMarker,FURN,49047.773438,-48170.582031,1303.976929,328.6698
community fixes merged.esp,000AF115,001254E2,WorkshopGuardMarker,FURN,50699.191406,-46252.167969,1311.278320,166.3399
community fixes merged.esp,00066AB1,00182994,MarshScumL01_Debris,STAT,11365.690430,-18906.574219,591.123474,121.1805
community fixes merged.esp,00066ABF,00182994,MarshScumL01_Debris,STAT,11664.094727,-17140.593750,591.345642,189.9355
community fixes merged.esp,00066AC1,00182994,MarshScumL01_Debris,STAT,11703.434570,-18705.476562,591.567871,348.5408
community fixes merged.esp,00066AC3,00182994,MarshScumL01_Debris,STAT,11633.068359,-17791.080078,590.890137,17.1888
community fixes merged.esp,00071EB6,00071E99,DN151_WestonWater,ACTI,-60416.000000,-5120.000000,450.000000,0.0000
community fixes merged.esp,000721F1,00071E99,DN151_WestonWater,ACTI,-58368.000000,-5120.000000,450.000000,0.0000
community fixes merged.esp,000721ED,00049C62,Water1024ExtOcean,ACTI,-58368.000000,-7168.000000,450.000000,0.0000
community fixes merged.esp,000721EC,00071E99,DN151_WestonWater,ACTI,-63488.000000,2048.000000,450.000000,0.0000
community fixes merged.esp,000721EB,00071E99,DN151_WestonWater,ACTI,-59392.000000,2048.000000,450.000000,0.0000
community fixes merged.esp,000721EA,00071E99,DN151_WestonWater,ACTI,-63488.000000,-2048.000000,450.000000,0.0000
community fixes merged.esp,000721E9,00071E99,DN151_WestonWater,ACTI,-59392.000000,-2048.000000,450.000000,0.0000
community fixes merged.esp,0007B49C,00071E99,DN151_WestonWater,ACTI,-59393.000000,-2048.997559,399.000000,0.0000
community fixes merged.esp,0007B49D,00071E99,DN151_WestonWater,ACTI,-59393.000000,2047.002441,399.000000,0.0000
community fixes merged.esp,0007B49E,00071E99,DN151_WestonWater,ACTI,-63489.000000,2047.002441,399.000000,0.0000
community fixes merged.esp,0007B49F,00071E99,DN151_WestonWater,ACTI,-63489.000000,-2048.997559,399.000000,0.0000
community fixes merged.esp,0007B4A1,00071E99,DN151_WestonWater,ACTI,-60417.000000,-5120.997559,399.000000,0.0000
community fixes merged.esp,0007B4A2,00071E99,DN151_WestonWater,ACTI,-58369.000000,-5120.997559,399.000000,0.0000
community fixes merged.esp,0007B4A3,000E4610,EnableMarker,STAT,-62785.000000,-2832.997559,1023.000000,90.0000
community fixes merged.esp,0007B4A4,000E4610,EnableMarker,STAT,-62786.000000,-2678.000000,1024.000000,90.0000
community fixes merged.esp,0300A14D,0005815F,RedR_ButtonBox,ACTI,10051.783203,3103.454590,114.658249,89.9996
