source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
ellen.esp,38002A9E,38002A92,EllenMiscObjActor,NPC_,2711.068848,-442.047485,-1549.146973,349.5047
ellen.esp,3800C6BD,3800BEF4,EllenSynthLog01,NOTE,27468.021484,-87510.742188,1883.296143,0.0000
ellen.esp,3800B6D8,380018BF,EllenNote01,BOOK,27948.220703,-83820.562500,2556.291504,358.0000
ellen.esp,3800815A,3800188B,EllenSynth,NPC_,29388.195312,-90498.101562,1032.853638,348.5411
ellen.esp,38007A7B,00070506,EncGunner05,NPC_,30710.160156,-89859.890625,1024.000000,275.0198
ellen.esp,38007A7A,00070506,EncGunner05,NPC_,28136.097656,-91409.703125,1031.736572,80.2142
ellen.esp,38025BC0,38025BBF,EllenNote03,BOOK,2979.265381,1861.685669,544.000000,0.0000
ellen.esp,3800C6BF,3800BEF6,EllenSynthLog02,NOTE,2979.925049,1853.603882,544.298096,0.0000
ellen.esp,38004B76,380079CD,EllenNote02,BOOK,3637.495605,2163.477295,569.344421,342.8113
ellen.esp,38002864,38001002,CompanionEllen,NPC_,260.352875,-3984.978271,0.000000,0.0000
