source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
essen_protovta.esp,3A00268B,00204813,VaultTecVan02Blue,MSTT,-76224.000000,83392.000000,7232.000000,0.0000
essen_protovta.esp,3A00BF09,3A00BF08,essenbros_chest,CONT,-76077.789062,83328.898438,7201.662598,355.4794
essen_protovta.esp,3A00BF0D,001AAD69,MakeshiftBattery01,MISC,-81743.085938,86485.054688,7679.283203,325.0000
essen_protovta.esp,3A00BF0E,001AAD69,MakeshiftBattery01,MISC,-81767.351562,86517.210938,7678.283203,0.0000
essen_protovta.esp,3A00BF0A,001C7F23,OilCan01_Rare,MISC,-80690.000000,91202.000000,7854.000000,252.0000
essen_protovta.esp,3A00BF0C,001C7F23,OilCan01_Rare,MISC,-80704.000000,91200.000000,7855.000000,0.0000
essen_protovta.esp,00022BD9,00047E4A,Res01PlayerHouseRR,STAT,-80222.000000,91276.000000,7854.000000,320.0000
essen_protovta.esp,3A00268C,3A00268A,essen_note_deleveryinform,BOOK,-3400.202881,1883.394409,55.591454,34.3775
essen_protovta.esp,3A00BF07,3A00BF04,essenbros_chest_test,CONT,-2845.346924,-2274.163330,16.296875,180.0000
essen_protovta.esp,3A00C6AE,3A00C6A8,essen_note_recipe,BOOK,-2665.920166,12785.994141,-2246.588135,324.0000
