source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
i73fi-scavengers.esp,2306FA27,0002BEE9,LvlScavenger,NPC_,1442.080200,557.266724,-1550.938599,217.7240
i73fi-scavengers.esp,2306FA26,0002BEE9,LvlScavenger,NPC_,2457.558350,1886.334106,-1559.114624,274.0564
i73fi-scavengers.esp,2306FA25,0002BEE9,LvlScavenger,NPC_,2379.440918,1012.351440,-1568.000000,91.6732
i73fi-scavengers.esp,2306FA28,0002BEE9,LvlScavenger,NPC_,1806.675171,4322.336426,-1541.977051,154.6986
i73fi-scavengers.esp,2306FA2A,000E210E,NPCSmokeIdleMarker,IDLM,4879.830566,2855.817627,-1532.374023,74.4846
i73fi-scavengers.esp,2306FA29,0002BEE9,LvlScavenger,NPC_,4840.972168,2987.339355,-1531.916870,268.3268
i73fi-scavengers.esp,230090DB,03049C3A,DLC03_TentBed,ACTI,78621.093750,107310.484375,1546.123047,297.9382
i73fi-scavengers.esp,230090D9,230090DA,i73fi_scavWoodCrate_Empty,CONT,78633.453125,107501.289062,1526.816528,239.6790
i73fi-scavengers.esp,230090D4,001C2698,LvlScavengerFemale,NPC_,78294.531250,107545.359375,1525.483398,108.8621
i73fi-scavengers.esp,230090D5,001C2697,LvlScavengerMale,NPC_,78539.203125,107639.398437,1540.764160,183.3466
i73fi-scavengers.esp,230090D6,0200091A,WorkshopCampFire01,STAT,78493.140625,107517.484375,1537.007568,0.0000
i73fi-scavengers.esp,230090D3,00060EC7,Pillow_01_Straw,MISC,85716.578125,108574.437500,455.972382,5.7297
i73fi-scavengers.esp,230090D2,00060EC7,Pillow_01_Straw,MISC,85761.195312,108572.242187,454.741058,166.1578
i73fi-scavengers.esp,230090CF,000211DD,BeerBottleEmpty01,MISC,85715.929688,108333.320312,452.994659,0.0101
i73fi-scavengers.esp,230090D1,000211DD,BeerBottleEmpty01,MISC,85724.796875,108322.242187,453.445862,343.1900
i73fi-scavengers.esp,230090D0,000211DD,BeerBottleEmpty01,MISC,85726.414062,108365.890625,453.745026,315.5361
i73fi-scavengers.esp,230090CE,000211DD,BeerBottleEmpty01,MISC,85744.406250,108352.914062,453.061188,353.9080
i73fi-scavengers.esp,230090CD,000211DD,BeerBottleEmpty01,MISC,85756.023438,108346.656250,452.988953,359.9863
i73fi-scavengers.esp,230090CA,001D16B4,LvlScavengerAggro768,NPC_,85581.000000,108923.726562,499.187500,216.7606
i73fi-scavengers.esp,230090CC,000D75BC,NpcBedSleepingBagSleep01,FURN,85356.945312,108876.273437,500.608826,28.6481
i73fi-scavengers.esp,230090CB,0003000C,loot_capsStash_tin,ACTI,85712.476562,108679.671875,451.440918,0.0000
i73fi-scavengers.esp,230090C8,00059B11,Ladle,MISC,85743.679688,108718.226562,504.904633,335.3135
i73fi-scavengers.esp,230090C9,00059ABA,CookingPot01,MISC,85751.695312,108725.984375,484.797577,0.0000
i73fi-scavengers.esp,230090C7,0002D459,RRM01Lantern,STAT,85754.843750,108808.156250,475.845795,183.3466
i73fi-scavengers.esp,230090C5,00060EC7,Pillow_01_Straw,MISC,85735.804688,108679.250000,456.101868,0.0000
i73fi-scavengers.esp,230090C4,0011EA93,BeerBottleStandard01,ALCH,85747.015625,108688.929687,450.489929,63.0254
i73fi-scavengers.esp,230090C3,0011EA93,BeerBottleStandard01,ALCH,85763.562500,108697.500000,450.489929,114.5916
i73fi-scavengers.esp,230090C2,000330F0,PorknBeans,ALCH,85769.742188,108665.140625,450.473999,0.0000
i73fi-scavengers.esp,230090C1,000330EE,Cram,ALCH,85776.492188,108680.226562,450.535309,74.4845
i73fi-scavengers.esp,230090BF,001D4134,LooseBoardShort02,MSTT,85750.000000,108457.960937,483.375031,108.8620
i73fi-scavengers.esp,230090C0,001D4131,LooseBoard03,MSTT,85693.312500,108454.500000,482.946930,91.6732
i73fi-scavengers.esp,230090BC,000A0F1E,RowboatRudder01,STAT,85721.171875,108224.054687,464.310852,200.5352
i73fi-scavengers.esp,230090BA,000A0F1D,Rowboat01,STAT,85738.664062,108514.351562,458.084991,183.3465
i73fi-scavengers.esp,230090B5,0200091A,WorkshopCampFire01,STAT,85482.710938,108857.695312,492.059509,0.0000
i73fi-scavengers.esp,2300D542,0002BEE9,LvlScavenger,NPC_,85128.382812,76293.312500,655.667969,63.0254
i73fi-scavengers.esp,2300D543,001D16B4,LvlScavengerAggro768,NPC_,86464.359375,74540.304688,890.082336,268.3268
i73fi-scavengers.esp,2307C722,001D16B4,LvlScavengerAggro768,NPC_,83806.742188,81680.296875,526.226685,74.4845
i73fi-scavengers.esp,2307C720,0002BEE9,LvlScavenger,NPC_,93752.507812,78492.085938,1089.931152,143.2394
i73fi-scavengers.esp,2307C71E,0002BEE9,LvlScavenger,NPC_,93607.570312,78484.406250,1089.913208,228.2198
i73fi-scavengers.esp,2307C721,001D16B4,LvlScavengerAggro768,NPC_,93534.921875,78683.593750,1090.473511,314.1635
i73fi-scavengers.esp,2302FC39,001D16B4,LvlScavengerAggro768,NPC_,97358.015625,79528.539062,1024.229736,193.8423
i73fi-scavengers.esp,2307C723,0002BEE9,LvlScavenger,NPC_,82621.171875,85419.414062,1251.109497,114.5916
i73fi-scavengers.esp,230090B4,0005821A,CigarettePack,MISC,74558.078125,97669.625000,458.884521,0.0000
i73fi-scavengers.esp,230090B3,000330EE,Cram,ALCH,74571.289062,97657.304688,456.225189,68.7549
i73fi-scavengers.esp,230090B2,000366C3,Vodka,ALCH,74556.492188,97652.257812,453.648285,190.6169
i73fi-scavengers.esp,230090B1,0003000C,loot_capsStash_tin,ACTI,74597.906250,97660.242188,451.397369,190.0761
i73fi-scavengers.esp,230090AC,001D16B4,LvlScavengerAggro768,NPC_,74249.757812,97226.453125,541.572388,80.2142
i73fi-scavengers.esp,230090AD,0200091A,WorkshopCampFire01,STAT,74481.054688,97304.281250,489.084808,0.0000
i73fi-scavengers.esp,001C169E,001AD3E8,WaterFXCoastWaveStr01,MSTT,74719.687500,97931.226562,450.000122,90.8137
i73fi-scavengers.esp,2300D53A,001C2698,LvlScavengerFemale,NPC_,56071.312500,72951.921875,1087.086060,188.1127
i73fi-scavengers.esp,2300D539,001D16B4,LvlScavengerAggro768,NPC_,56547.125000,72802.742188,1098.260376,125.0874
i73fi-scavengers.esp,00056103,00018C93,IndMetalDoor01,DOOR,57061.753906,72853.570312,1097.693604,95.7295
i73fi-scavengers.esp,2301EACE,0002BEE9,LvlScavenger,NPC_,36650.425781,77461.210938,1822.937500,131.7803
i73fi-scavengers.esp,2301EACD,0002BEE9,LvlScavenger,NPC_,36622.925781,77603.929688,1821.976685,319.8930
i73fi-scavengers.esp,2301EACF,0002BEE9,LvlScavenger,NPC_,36534.414062,77883.882812,1851.742676,279.7860
i73fi-scavengers.esp,230119B0,0002BEE9,LvlScavenger,NPC_,54841.792969,42923.699219,647.119141,211.9944
i73fi-scavengers.esp,230119A7,0002BEE9,LvlScavenger,NPC_,39053.636719,9497.335938,713.518677,222.4902
i73fi-scavengers.esp,230119AA,0002BEE9,LvlScavenger,NPC_,49295.757812,11400.021484,902.531616,246.3719
i73fi-scavengers.esp,230119A9,0002BEE9,LvlScavenger,NPC_,49085.105469,12483.579102,866.907959,194.8057
i73fi-scavengers.esp,230119A8,0002BEE9,LvlScavenger,NPC_,48961.914062,12318.415039,864.000000,296.9747
i73fi-scavengers.esp,000BEF46,0005D8F8,Loot_Prewar_Cooler,CONT,48626.250000,13041.965820,926.955017,318.1740
i73fi-scavengers.esp,000BEF45,0005D8F8,Loot_Prewar_Cooler,CONT,49046.472656,13230.946289,942.097717,219.6251
i73fi-scavengers.esp,2301EAD8,0002BEE9,LvlScavenger,NPC_,13566.825195,42675.015625,1050.853149,269.2902
i73fi-scavengers.esp,2301EAD7,0002BEE9,LvlScavenger,NPC_,13997.891602,42911.667969,1045.647583,0.0000
