source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
llamaCompanionHeatherv2.esp,3CB249FB,3CA27C79,llamaFHExtTriggerDoorFS,ACTI,-1757.141968,55353.910156,737.601685,28.6479
llamaCompanionHeatherv2.esp,3CA27C7A,3CA27C79,llamaFHExtTriggerDoorFS,ACTI,-1946.639648,55474.023437,737.601685,28.6479
llamaCompanionHeatherv2.esp,3CAC1A79,000457C4,VineHanging03,STAT,-2081.128418,55411.171875,857.997864,68.7550
llamaCompanionHeatherv2.esp,3CAC1A78,0004D322,VineHanging08,STAT,-2108.161621,55481.050781,821.299011,102.1836
llamaCompanionHeatherv2.esp,3CAC1A77,0004D322,VineHanging08,STAT,-2084.373779,55502.714844,732.802368,285.5156
llamaCompanionHeatherv2.esp,3CAC1A6C,00001DFC,CinderBlocks09,STAT,-2195.359863,55604.582031,506.143585,296.9747
llamaCompanionHeatherv2.esp,3CAC1A6B,00048281,MetalBarrel01Fire02_Static,STAT,-2229.552002,55625.011719,464.378296,28.6479
llamaCompanionHeatherv2.esp,3C5BFFB1,000424FD,TerminalWallBroken01,STAT,-1854.854614,55537.898437,640.959900,28.6480
llamaCompanionHeatherv2.esp,3C5A64C1,0015A0A7,OilLampOnHandleUp,STAT,-1801.247314,55492.753906,798.728516,108.8620
llamaCompanionHeatherv2.esp,3C5A64C0,0300160A,BuoyHangHooklLG01,STAT,-1896.338013,55341.257812,841.026306,163.6479
llamaCompanionHeatherv2.esp,3C5A64BF,0300161D,BuoyRopeWall05,STAT,-1823.992798,55459.277344,845.179565,118.6479
llamaCompanionHeatherv2.esp,3C5A64BE,0603DA2F,DLC04_Sign_NukaGalaxy_Interior_Welcome,STAT,-1880.161865,55390.761719,840.456177,296.9747
llamaCompanionHeatherv2.esp,3C5A206D,3C56A52A,llamaFHTugCabin02,STAT,-1952.873047,55469.027344,601.101685,28.6479
llamaCompanionHeatherv2.esp,3CB8A747,3CB751B2,llamaFH03CliffsEdge,CONT,31975.144531,33193.929687,3087.953613,342.8113
llamaCompanionHeatherv2.esp,3CABD619,3CC28773,llamaFHPatioChairExt01,FURN,-2243.836426,55556.824219,511.094269,120.3212
llamaCompanionHeatherv2.esp,3CABD618,3CC28773,llamaFHPatioChairExt01,FURN,-2171.282715,55670.957031,511.110565,114.5916
llamaCompanionHeatherv2.esp,3CC79A0D,0000003B,XMarker,STAT,-10065.120117,50669.683594,1173.570679,0.0000
llamaCompanionHeatherv2.esp,3CC1762A,3CC17629,llamaFHExtTriggerChairs,ACTI,-2205.363525,55609.468750,550.442688,28.6479
llamaCompanionHeatherv2.esp,3CB8EB9B,3CB8EB9A,llamaFHArchTrigger,ACTI,14995.033203,55662.105469,650.927856,342.8113
llamaCompanionHeatherv2.esp,3CB3D8FB,3CB3D8FC,llamaManholeDoor01,DOOR,-12517.346680,50858.195312,1059.717041,0.0000
llamaCompanionHeatherv2.esp,3C5C4408,00000010,MapMarker,STAT,-1503.446167,55466.675781,644.804321,262.5973
llamaCompanionHeatherv2.esp,3C5A64C2,3C167E18,llamaMetalTrapdoor01Exterior,DOOR,-2032.159058,55514.031250,656.068054,118.6482
llamaCompanionHeatherv2.esp,3C6E7B80,000CF446,FishDead03,STAT,-10430.226562,62910.218750,2311.613037,45.0002
llamaCompanionHeatherv2.esp,3C6E7B7F,000CF443,FishDead02,STAT,-10451.253906,62924.703125,2311.613037,135.0001
llamaCompanionHeatherv2.esp,3C6E372E,00101CBE,CatBowlStatic,STAT,-10422.706055,62953.539062,2311.613037,0.0000
llamaCompanionHeatherv2.esp,3C6E372D,3CF24FAF,llamaBunkerCatBowl,STAT,-10438.363281,62953.191406,2311.613037,180.0000
llamaCompanionHeatherv2.esp,3C3EF83D,03002B76,FishDeadMackerel03,STAT,-10236.980469,62610.500000,2391.428711,121.7498
llamaCompanionHeatherv2.esp,3CF4B6A6,3CEE0A72,llamaCat2,NPC_,-10184.387695,62621.562500,2326.662354,268.3269
llamaCompanionHeatherv2.esp,3CEA4D40,00164393,DefaultLightGreenFungus01NS,LIGH,-11049.288086,65433.082031,2517.683350,0.0000
llamaCompanionHeatherv2.esp,3CEA08EC,00001DFD,CinderBlockSingle01,STAT,-11023.335938,65398.039062,2468.541992,296.9747
llamaCompanionHeatherv2.esp,3CEA08EB,00001DFD,CinderBlockSingle01,STAT,-11065.986328,65374.664062,2468.750488,354.2705
llamaCompanionHeatherv2.esp,3CEA08EA,3CEA9191,llamaWildwoodMemorial,ACTI,-11048.221680,65385.039062,2488.799805,148.0058
llamaCompanionHeatherv2.esp,3CF47254,0014E682,CatTableSitting,FURN,-10232.989258,62625.222656,2333.975098,274.0565
llamaCompanionHeatherv2.esp,3C3619F7,00000010,MapMarker,STAT,-11254.315430,62466.941406,2279.065430,62.1889
llamaCompanionHeatherv2.esp,3C31C458,3C31DB3D,llamaRadioTransmitter,ACTI,-14873.358398,59956.437500,2156.560059,0.0000
llamaCompanionHeatherv2.esp,3C257D37,3C2584D1,llamaNPCSmokeIdleMarker,IDLM,-14869.881836,59972.441406,1699.604248,205.3015
llamaCompanionHeatherv2.esp,3C0DF863,3C167E18,llamaMetalTrapdoor01Exterior,DOOR,-10486.575195,62517.835937,2304.000000,0.0000
llamaCompanionHeatherv2.esp,3C00D157,3C00AB33,llamaCompanion,NPC_,-14874.800781,59942.328125,1707.405029,195.5930
llamaCompanionHeatherv2.esp,3C61677D,000B391A,VaultCryoAmbWarm,LIGH,-708.474792,450.504028,-157.681244,315.0000
