source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
more_bloodbugs.esp,FE02007C,0002866E,LvlBloodbug,NPC_,-13587.872070,-71823.773438,1482.740234,90.0000
more_bloodbugs.esp,FE02007B,0002866E,LvlBloodbug,NPC_,-14599.742187,-71664.109375,1658.444824,32.7041
more_bloodbugs.esp,FE02005D,0002866E,LvlBloodbug,NPC_,-13587.872070,-71823.773438,1482.740234,90.0000
more_bloodbugs.esp,FE02005C,0002866E,LvlBloodbug,NPC_,-14599.742187,-71664.109375,1658.444824,32.7041
more_bloodbugs.esp,FE02003E,0002866E,LvlBloodbug,NPC_,-13587.872070,-71823.773438,1482.740234,90.0000
more_bloodbugs.esp,FE02003D,0002866E,LvlBloodbug,NPC_,-14599.742187,-71664.109375,1658.444824,32.7041
more_bloodbugs.esp,FE02001F,0002866E,LvlBloodbug,NPC_,-13587.872070,-71823.773438,1482.740234,90.0000
more_bloodbugs.esp,FE02001E,0002866E,LvlBloodbug,NPC_,-14599.742187,-71664.109375,1658.444824,32.7041
more_bloodbugs.esp,FE020079,0002866E,LvlBloodbug,NPC_,-54914.910156,-128371.382812,3835.268555,349.7324
more_bloodbugs.esp,FE02005A,0002866E,LvlBloodbug,NPC_,-54914.910156,-128371.382812,3835.268555,349.7324
more_bloodbugs.esp,FE02003B,0002866E,LvlBloodbug,NPC_,-54914.910156,-128371.382812,3835.268555,349.7324
more_bloodbugs.esp,FE02001C,0002866E,LvlBloodbug,NPC_,-54914.910156,-128371.382812,3835.268555,349.7324
more_bloodbugs.esp,FE02006A,0002866E,LvlBloodbug,NPC_,-58076.089844,-117027.828125,3516.063965,8.5943
more_bloodbugs.esp,FE02004B,0002866E,LvlBloodbug,NPC_,-58076.089844,-117027.828125,3516.063965,8.5943
more_bloodbugs.esp,FE02002C,0002866E,LvlBloodbug,NPC_,-58076.089844,-117027.828125,3516.063965,8.5943
more_bloodbugs.esp,FE02000D,0002866E,LvlBloodbug,NPC_,-58076.089844,-117027.828125,3516.063965,8.5943
more_bloodbugs.esp,FE020062,0002866E,LvlBloodbug,NPC_,-77889.492188,-25827.910156,3361.755615,90.0000
more_bloodbugs.esp,FE020043,0002866E,LvlBloodbug,NPC_,-77889.492188,-25827.910156,3361.755615,90.0000
more_bloodbugs.esp,FE020024,0002866E,LvlBloodbug,NPC_,-77889.492188,-25827.910156,3361.755615,90.0000
more_bloodbugs.esp,FE020005,0002866E,LvlBloodbug,NPC_,-77889.492188,-25827.910156,3361.755615,90.0000
more_bloodbugs.esp,FE020061,0002866E,LvlBloodbug,NPC_,-76654.125000,-26191.544922,3380.971680,90.0000
more_bloodbugs.esp,FE020042,0002866E,LvlBloodbug,NPC_,-76654.125000,-26191.544922,3380.971680,90.0000
more_bloodbugs.esp,FE020023,0002866E,LvlBloodbug,NPC_,-76654.125000,-26191.544922,3380.971680,90.0000
