id,source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
1420070,DLCCoast.esm,03018801,0014EC0C,TreeClusterDestroyedFallen03,SCOL,18882.181641,-32070.009766,-271.428864,217.4062
1420071,DLCCoast.esm,03018802,0014F6C7,TreeClusterGSFallen01,SCOL,19858.896484,-29969.533203,-8.019875,174.3444
1420072,DLCCoast.esm,03018803,0014EC0A,TreeClusterDestroyedFallen01,SCOL,19572.455078,-30441.732422,27.103271,270.0
1420073,DLCCoast.esm,03018804,0014EC0C,TreeClusterDestroyedFallen03,SCOL,17615.685547,-29082.091797,217.045837,242.5008
1420074,DLCCoast.esm,03018805,0014F6CA,TreeClusterGSFallen03,SCOL,18094.111328,-28901.634766,286.777069,265.4873
1420075,DLCCoast.esm,03018821,000C3885,WoodPallet02,STAT,18568.046875,-31023.097656,22.427639,0.0
1420076,DLCCoast.esm,03018822,000C3885,WoodPallet02,STAT,18638.689453,-30935.947266,25.689447,357.3863
1420077,DLCCoast.esm,03018823,000C3885,WoodPallet02,STAT,18284.107422,-30894.951172,-3.687599,308.4759
1420078,DLCCoast.esm,0301882C,03010B8A,PierCoastDamEndL02,STAT,19689.230469,-30613.296875,7.568863,24.5254
1420079,DLCCoast.esm,0301882D,03010B5E,PierCoastDamChunk01,STAT,19357.630859,-30518.613281,62.186905,244.3313
1420080,DLCCoast.esm,0301882E,03010B8A,PierCoastDamEndL02,STAT,18322.466797,-31770.597656,-200.683289,174.6386
1420081,DLCCoast.esm,0301882F,0300FD6E,PierCoastDamEndR01,STAT,18322.466797,-31770.597656,-200.683289,174.6386
1420082,DLCCoast.esm,03018830,03010B5E,PierCoastDamChunk01,STAT,18290.529297,-32035.507812,-300.802979,270.0
1420083,DLCCoast.esm,03018831,03002D0E,KelpGroup_Sm01,SCOL,17951.90625,-31136.478516,-135.9319,302.8397
1420084,DLCCoast.esm,03018832,030035D5,KelpGroup_Lg04,SCOL,18601.0,-29333.810547,190.864029,264.1863
1420085,DLCCoast.esm,03031C41,03014A1D,RockPileL01RiverbedRocks01WetCoastWetRock_DLC03,STAT,16436.767578,-31596.585937,187.594437,335.8939
1420086,DLCCoast.esm,03031C42,000B1202,RockCliffCoastShort01,STAT,16615.076172,-31780.904297,148.705109,295.8026
1420087,DLCCoast.esm,03031C43,000B1201,RockCliffCoastSlab,STAT,16612.076172,-31533.830078,146.293839,202.5696
1420088,DLCCoast.esm,0303DBF2,030046B3,DLC03MistFX1024,MSTT,20314.230469,-32131.134766,450.0,270.0
1420089,DLCCoast.esm,0303DBF3,030046B3,DLC03MistFX1024,MSTT,19082.611328,-31118.548828,450.0,302.6586
1420090,DLCCoast.esm,0304DEA4,03049B96,DLC03AMBWaterExteriorCoastWavesCDLPmarker,SOUN,18098.201172,-28846.980469,453.581604,353.9237
1420091,DLCCoast.esm,03050031,030026FE,KelpPile07,STAT,17235.541016,-31113.796875,-82.611938,78.1858
1420092,DLCCoast.esm,03050032,030026FE,KelpPile07,STAT,17512.677734,-31750.320312,-197.570389,217.507
1420093,DLCCoast.esm,03050033,030026FE,KelpPile07,STAT,17714.556641,-31975.232422,-233.669861,167.5405
1420094,DLCCoast.esm,03050034,030026FE,KelpPile07,STAT,17879.160156,-31879.373047,-258.580139,86.7535
1420095,DLCCoast.esm,03050035,000211F4,WoodBarrel01,STAT,17163.539062,-31083.175781,-49.30365,316.6395
1420096,DLCCoast.esm,03050036,0304F539,DLC03LargeSailboat01_Part_04,STAT,17982.324219,-32143.617187,-254.341797,11.921
1420097,DLCCoast.esm,03050037,000AEFAD,RockCoastSM01,STAT,17401.488281,-30818.548828,-196.339584,277.2674
1420098,DLCCoast.esm,03050038,03003799,DLC03LobsterCageDest01,STAT,17745.457031,-31947.712891,-227.572266,331.6928
1420099,DLCCoast.esm,03050039,03002BB5,KelpPile09_Lg,STAT,17176.435547,-31061.085937,-35.6651,310.9423
1420100,DLCCoast.esm,0305003A,03002BB5,KelpPile09_Lg,STAT,17172.650391,-31109.703125,-30.025543,343.2065
1420101,DLCCoast.esm,0305003B,0304F537,DLC03LargeSailboat01_NoMast01,STAT,17685.488281,-31767.822266,-309.975983,53.2505
1420102,DLCCoast.esm,0305003C,030025C6,FishNetFallenCor01,STAT,17706.378906,-31931.740234,-220.260406,317.5931
1420103,DLCCoast.esm,0305003D,030026FB,KelpPile05_Corner,STAT,17855.529297,-31938.515625,-246.283844,319.6598
1420104,DLCCoast.esm,0305003E,030025EF,FishNetFallenCrates02,STAT,17185.681641,-31132.892578,-72.824768,22.279
1420105,DLCCoast.esm,0305003F,0302C59C,DLC03LobsterCage01,STAT,17194.306641,-31327.873047,-97.368057,302.0586
1420106,DLCCoast.esm,03050040,0302C59C,DLC03LobsterCage01,STAT,17801.328125,-31914.701172,-243.56192,304.1901
1420107,DLCCoast.esm,03050041,0302C59C,DLC03LobsterCage01,STAT,17828.962891,-31866.886719,-248.38678,234.5765
1420108,DLCCoast.esm,03050042,0302C59C,DLC03LobsterCage01,STAT,17779.085938,-31935.738281,-207.323975,46.2855
1420109,DLCCoast.esm,0301A3E0,03002B1F,RockCliffCoast_Large01,STAT,30941.449219,-64365.097656,-243.22113,190.7362
1420110,DLCCoast.esm,03019AB7,03002B1F,RockCliffCoast_Large01,STAT,15432.608398,-62517.316406,-283.635284,280.1887
1420111,DLCCoast.esm,03019AB8,000AEFB3,RockCliffCoastShort02,STAT,15955.725586,-63169.140625,-2.951723,302.7043
1420112,DLCCoast.esm,030429FA,03039AC5,DLC03SmallSailboat01,STAT,13753.880859,-63898.007812,-318.296051,96.2542
1420113,DLCCoast.esm,030429FB,03039AC5,DLC03SmallSailboat01,STAT,15060.186523,-62037.84375,231.386383,270.0
1420114,DLCCoast.esm,030429FC,000211F7,WoodCrate03,STAT,14921.162109,-62219.78125,145.466278,270.0
1420115,DLCCoast.esm,030429FD,000211F7,WoodCrate03,STAT,15119.051758,-62405.285156,55.999054,5.5732
1420116,DLCCoast.esm,030429FE,0005D8F8,Loot_Prewar_Cooler,CONT,15035.602539,-62001.941406,240.78215,270.0
1420117,DLCCoast.esm,030429FF,00064A47,Loot_DuffleBag_Guns,CONT,15077.696289,-61931.089844,286.067688,254.8301
1420118,DLCCoast.esm,03042BA6,03002B23,RockCliffCoast_Low01,STAT,22119.974609,-61632.296875,193.901779,343.0171
1420119,DLCCoast.esm,03042BAD,03006D29,ShrubGroupDLC03Medium01,SCOL,22074.830078,-61786.359375,505.569031,204.9196
1420120,DLCCoast.esm,03042BB3,03002CAE,KelpGroup_Med01,SCOL,22092.697266,-62142.914062,486.040344,49.6312
1420121,DLCCoast.esm,03042BB4,030035D0,KelpGroup_Med03,SCOL,20570.960938,-61579.652344,426.356018,236.8162
1420122,DLCCoast.esm,03042BB5,03002CAE,KelpGroup_Med01,SCOL,21191.669922,-61694.898437,429.189484,317.8222
1420123,DLCCoast.esm,03042BC6,00112875,MarshScumM01,STAT,22844.390625,-62280.703125,450.0,133.063
1420124,DLCCoast.esm,03042BDD,000CA9C5,FishDead01,STAT,22550.746094,-62453.769531,449.999939,270.0
1420125,DLCCoast.esm,03042BDE,000BAD0D,SeaweedVine01,STAT,22815.212891,-62363.796875,450.0,270.0
1420126,DLCCoast.esm,03042BE0,00113E15,MarshScumS01,STAT,22853.683594,-62444.207031,449.0,341.6652
