id,source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
1252144,DLCRobot.esm,01008351,001EDEEE,RaiderCampPole02,STAT,-100464.664062,-4357.583008,8322.549805,44.545
1252145,DLCRobot.esm,01004CDC,000FDF6E,ShackMetalWallFlat01,STAT,-98842.578125,-1492.22229,8390.263672,244.8376
1252146,DLCRobot.esm,01004CDD,001D15E3,JunkWall06,STAT,-98543.710938,-2045.07666,8379.896484,256.8505
1252147,DLCRobot.esm,01004CDE,001D15E1,JunkWall05,STAT,-98744.523438,-1448.050171,8375.833008,244.8376
1252148,DLCRobot.esm,01004CDF,001BBF86,JunkWallTall02A,STAT,-98566.859375,-2272.509277,8367.859375,274.3864
1252149,DLCRobot.esm,01004CE0,00001E1B,FenceChainlink01,STAT,-98524.96875,-2397.864746,8437.81543,96.3105
1252150,DLCRobot.esm,01004CE1,00001E1B,FenceChainlink01,STAT,-98551.890625,-2652.431885,8435.203125,96.3105
1252151,DLCRobot.esm,01004CE2,000430B8,FenceChainlinkDown64,STAT,-98651.421875,-3148.810547,8444.080078,154.3838
1252152,DLCRobot.esm,01004CE3,00001E1B,FenceChainlink01,STAT,-98578.390625,-2906.256592,8430.226562,109.2593
1252153,DLCRobot.esm,01004CE4,001C3566,JunkWallTallAngled01,STAT,-98890.09375,-1273.635376,8367.859375,234.3829
1252154,DLCRobot.esm,01004CE5,001160AB,JunkWallSign01,STAT,-98791.59375,-1332.391602,8472.317383,234.3837
1252155,DLCRobot.esm,01004CE6,000FDF6E,ShackMetalWallFlat01,STAT,-99312.195312,-3369.452881,8555.532227,311.6337
1252156,DLCRobot.esm,01004CE7,001D15E1,JunkWall05,STAT,-99232.578125,-3442.106689,8543.447266,311.6337
1252157,DLCRobot.esm,01004CE8,00034F98,ShackMidSupports01,STAT,-100707.382812,-2927.19458,8926.359375,309.4079
1252158,DLCRobot.esm,01004CE9,001F1EAD,ShackMetalPrefabMid02,STAT,-100798.5,-2846.790283,8926.359375,309.408
1252159,DLCRobot.esm,01004CEA,00034F98,ShackMidSupports01,STAT,-100894.945312,-2766.625,8926.359375,311.8717
1252160,DLCRobot.esm,01004CEB,001F1EAD,ShackMetalPrefabMid02,STAT,-100637.28125,-2643.645996,8926.214844,131.0812
1252161,DLCRobot.esm,01004CEC,00034F98,ShackMidSupports01,STAT,-100546.164062,-2724.050293,8926.359375,309.4079
1252162,DLCRobot.esm,01004CED,00034F98,ShackMidSupports01,STAT,-100733.726562,-2563.480713,8926.359375,311.8717
1252163,DLCRobot.esm,01004CEE,000349F9,ShackBridge01,STAT,-100745.78125,-3211.082275,8932.544922,174.408
1252164,DLCRobot.esm,01004CEF,000622FF,Shack_Single_CrrgtdMetal02,STAT,-100777.453125,-3026.637939,8928.089844,276.7037
1252165,DLCRobot.esm,01004CF0,0006D12F,ShackBridge02,STAT,-100842.359375,-3391.403076,8936.053711,225.9742
1252166,DLCRobot.esm,01004CF1,000EC531,ShackBalconyStairs01,STAT,-100877.359375,-3431.021729,8944.147461,353.8585
1252167,DLCRobot.esm,01004CF2,001F1EAB,ShackMetalPrefabHallway01,STAT,-101276.953125,-3412.746582,9176.557617,41.0812
1252168,DLCRobot.esm,01004CF3,000FACBD,ShackMetalMidRoof02,STAT,-101385.132812,-3272.157715,9184.557617,63.6557
1252169,DLCRobot.esm,01004CF4,001F1EAE,ShackMetalPrefabMid03,STAT,-101421.992188,-3116.496094,9172.495117,176.0813
1252170,DLCRobot.esm,01004CF5,0003476B,ShackBridgeFree01,STAT,-101379.773438,-3419.820068,9183.404297,156.4171
1252171,DLCRobot.esm,01004CF6,00062314,Shack_Single_Plywood01,STAT,-101344.023438,-3267.296631,9180.638672,251.1189
1252172,DLCRobot.esm,01004CF7,0003476B,ShackBridgeFree01,STAT,-101421.664062,-3015.349121,9173.213867,217.8955
1252173,DLCRobot.esm,01004CF8,0003476B,ShackBridgeFree01,STAT,-101220.421875,-2805.263672,9175.857422,270.6655
1252174,DLCRobot.esm,01004CF9,0005BAA9,ShackBalconyFloor05,STAT,-100758.421875,-2793.515381,9178.435547,308.4174
1252175,DLCRobot.esm,01004CFA,00033789,ShackBalconyFloor02,STAT,-100599.234375,-2592.838623,9181.816406,308.4413
1252176,DLCRobot.esm,01004CFB,00033795,ShackBalconyFloor04,STAT,-100678.796875,-2693.104492,9176.381836,218.4492
1252177,DLCRobot.esm,01004CFC,000349F5,ShackBridgeFree01Support01,STAT,-101332.25,-2898.01709,9173.407227,217.8955
1252178,DLCRobot.esm,01004CFD,000349F5,ShackBridgeFree01Support01,STAT,-101332.25,-2898.01709,8957.407227,217.8955
1252179,DLCRobot.esm,01004CFE,00062317,Shack_Single_Plywood02,STAT,-101239.515625,-2805.585449,9173.223633,165.1876
1252180,DLCRobot.esm,01004CFF,000349F5,ShackBridgeFree01Support01,STAT,-101132.109375,-2806.640137,9171.749023,87.9488
1252181,DLCRobot.esm,01004D00,000349F5,ShackBridgeFree01Support01,STAT,-101132.109375,-2806.640137,8955.749023,87.9488
1252182,DLCRobot.esm,01004D01,0003476B,ShackBridgeFree01,STAT,-100848.359375,-2867.797363,9170.498047,104.8366
1252183,DLCRobot.esm,01004D02,00062314,Shack_Single_Plywood01,STAT,-100832.109375,-2858.579834,9174.15625,153.6283
1252184,DLCRobot.esm,01004D03,000EC531,ShackBalconyStairs01,STAT,-100455.554688,-2555.242676,8716.210938,39.6951
1252185,DLCRobot.esm,01004D04,000349F5,ShackBridgeFree01Support01,STAT,-100697.070312,-2354.674805,8935.911133,129.2591
1252186,DLCRobot.esm,01004D05,000349F5,ShackBridgeFree01Support01,STAT,-100625.96875,-2342.63916,8935.911133,40.7945
1252187,DLCRobot.esm,01004D07,0003476B,ShackBridgeFree01,STAT,-100567.65625,-2553.167725,9189.383789,221.9224
1252188,DLCRobot.esm,01004D08,0003476B,ShackBridgeFree01,STAT,-100225.265625,-2151.086182,9184.15625,39.5901
1252189,DLCRobot.esm,01004D0A,0003476B,ShackBridgeFree01,STAT,-99884.648438,-1727.948242,9099.280273,47.1877
1252190,DLCRobot.esm,01004D0B,00062314,Shack_Single_Plywood01,STAT,-100080.164062,-1916.852539,9092.628906,37.3008
1252191,DLCRobot.esm,01004D0C,00062317,Shack_Single_Plywood02,STAT,-99919.382812,-1747.093262,9096.884766,318.8353
1252192,DLCRobot.esm,01004D0D,00062315,Shack_Single_Plywood01_Brkn,STAT,-100322.828125,-2261.351074,9181.561523,110.8221
1252193,DLCRobot.esm,01004D0E,00062318,Shack_Single_Plywood02_Brkn,STAT,-100472.117188,-2472.1604,9182.575195,15.6578
1252194,DLCRobot.esm,01004D0F,000622FF,Shack_Single_CrrgtdMetal02,STAT,-100389.070312,-2363.896484,9176.779297,219.378
1252195,DLCRobot.esm,01004D10,000622FF,Shack_Single_CrrgtdMetal02,STAT,-100184.210938,-2093.178467,9158.383789,122.2795
1252196,DLCRobot.esm,01004D11,0006E212,WrhsWingAddtnRoofShackONLYBeam01,STAT,-100276.890625,-2202.631836,9169.995117,41.5971
1252197,DLCRobot.esm,01004D12,0006E212,WrhsWingAddtnRoofShackONLYBeam01,STAT,-100453.179688,-2405.901367,9166.779297,41.5971
1252198,DLCRobot.esm,01004D13,0006E212,WrhsWingAddtnRoofShackONLYBeam01,STAT,-100048.867188,-1878.521118,9082.263672,47.2725
1252199,DLCRobot.esm,01004D15,001C496F,JunkWallTallFree02,STAT,-99786.5625,-1827.25708,8707.912109,2.8472
1252200,DLCRobot.esm,01004D16,001C496F,JunkWallTallFree02,STAT,-100017.171875,-1578.152588,8702.972656,95.5517
1252201,DLCRobot.esm,01004D17,00018CD9,MetalBarrelStatic02,STAT,-99826.140625,-1756.880859,8713.524414,0.0
