id,source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
1289855,DLCworkshop01.esm,02000C15,0017B3A4,workbenchWeaponsA,FURN,2304.0,2320.0,256.0,0.0
1289856,DLCworkshop01.esm,02000C16,000E626A,FluorescentLightThinHanging01,MSTT,2166.300781,1782.104492,445.764374,0.0
1289857,DLCworkshop01.esm,02000C18,0001E599,BldWoodPBgRoomCorner04,SCOL,2816.0,1312.0,256.0,0.0
1289858,DLCworkshop01.esm,02000C19,0000100E,RandomOmni02NS,LIGH,2176.0,2208.0,384.0,0.0
1289859,DLCworkshop01.esm,02000C1A,0001E595,BldWoodPBgRoomCorner02,SCOL,2048.0,2336.0,256.0,0.0
1289860,DLCworkshop01.esm,02000C1B,00000032,COCMarkerHeading,STAT,2176.0,2176.0,256.0,180.0
1289861,DLCworkshop01.esm,02000C1C,0001D491,defaultLight01,LIGH,-2015.973877,2200.941406,10.737366,0.0
1289862,DLCworkshop01.esm,02000C1D,0001D490,defaultLight02,LIGH,2724.672363,2200.941406,1582.564087,0.0
1289863,DLCworkshop01.esm,02000C1E,0001D492,defaultLight03,LIGH,354.349243,1659.327637,10.737366,0.0
1289864,DLCworkshop01.esm,02000C1F,0001D493,defaultLight04,LIGH,354.349243,2742.555176,1582.564087,0.0
1289865,DLCworkshop01.esm,02000C20,0001A7F8,BldWoodPSmCeilOnly01,STAT,2048.0,2080.0,512.0,90.0
1289866,DLCworkshop01.esm,02000C21,0001C9FF,BldWoodPBgWall02,STAT,2048.0,1312.0,256.0,270.0
1289867,DLCworkshop01.esm,02000C22,0001CA05,BldWoodPBgWall05,STAT,1940.329468,2080.0,256.0,0.0
1289868,DLCworkshop01.esm,02000C23,0001A81F,BldWoodPSmFlrOnly01,STAT,1792.0,2080.0,256.0,90.0
1289869,DLCworkshop01.esm,02000C24,0001C9FE,BldWoodPBgWall01,STAT,1792.0,2080.0,256.0,270.0
1289870,DLCworkshop01.esm,02000C25,0001E5AB,BldWoodPBgRoomICorner04,SCOL,2048.0,2080.0,256.0,0.0
1289871,DLCworkshop01.esm,02000C26,0001CA01,BldWoodPBgWall03,STAT,1792.0,2080.0,256.0,90.0
1289872,DLCworkshop01.esm,02000C27,0001A7F8,BldWoodPSmCeilOnly01,STAT,1792.0,2080.0,512.0,90.0
1289873,DLCworkshop01.esm,02000C2D,0001A7F8,BldWoodPSmCeilOnly01,STAT,2048.0,1824.0,512.0,90.0
1289874,DLCworkshop01.esm,02000C30,0001A7F8,BldWoodPSmCeilOnly01,STAT,2048.0,1568.0,512.0,90.0
1289875,DLCworkshop01.esm,02000C31,0001A81F,BldWoodPSmFlrOnly01,STAT,2048.0,1568.0,256.0,90.0
1289876,DLCworkshop01.esm,02000C32,0001A7F8,BldWoodPSmCeilOnly01,STAT,2048.0,1568.0,512.0,90.0
1289877,DLCworkshop01.esm,02000C33,0001A81F,BldWoodPSmFlrOnly01,STAT,2048.0,1824.0,256.0,90.0
1289878,DLCworkshop01.esm,02000C34,0001A7F8,BldWoodPSmCeilOnly01,STAT,2048.0,1824.0,512.0,90.0
1289879,DLCworkshop01.esm,02000C35,0001A81F,BldWoodPSmFlrOnly01,STAT,2048.0,1312.0,256.0,90.0
1289880,DLCworkshop01.esm,02000C36,0001A7F8,BldWoodPSmCeilOnly01,STAT,2048.0,1312.0,512.0,90.0
