id,source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
1791884,ccBGSFO4046-TesCan.esl,FE006014,FE006881,ccBGSFO4046_GunnerAshpileContainer,CONT,-65231.078125,-125426.453125,4597.722656,0.0
1791885,ccBGSFO4046-TesCan.esl,FE006013,FE006881,ccBGSFO4046_GunnerAshpileContainer,CONT,-65169.179687,-126720.804687,4419.207031,0.0
1791886,ccBGSFO4046-TesCan.esl,FE006012,FE006881,ccBGSFO4046_GunnerAshpileContainer,CONT,-65305.824219,-126065.617187,4455.944824,0.0
1791887,ccBGSFO4046-TesCan.esl,FE006011,FE006881,ccBGSFO4046_GunnerAshpileContainer,CONT,-65506.359375,-126065.617187,4444.317383,0.0
1791888,ccBGSFO4046-TesCan.esl,FE00603F,00000021,CollisionMarker,STAT,-38585.078125,-100242.945312,2258.942383,182.0761
1791889,ccBGSFO4046-TesCan.esl,FE00687F,FE006881,ccBGSFO4046_GunnerAshpileContainer,CONT,-65681.960937,-127022.539062,4429.091797,0.0
1791890,ccBGSFO4046-TesCan.esl,FE00600F,FE006881,ccBGSFO4046_GunnerAshpileContainer,CONT,-65653.46875,-125328.507812,4540.389648,0.0
1791891,ccBGSFO4046-TesCan.esl,FE00687C,FE006881,ccBGSFO4046_GunnerAshpileContainer,CONT,-65556.679687,-125622.1875,4519.049805,0.0
1791892,ccBGSFO4046-TesCan.esl,FE006010,0001FA5A,RadioTransmitter,ACTI,-38584.523438,-100224.960938,2358.454834,0.0
1791893,ccBGSFO4046-TesCan.esl,FE00600E,0001FA5A,RadioTransmitter,ACTI,-66280.265625,-125904.242187,4595.985352,0.0
1791894,ccBGSFO4046-TesCan.esl,FE00600D,FE006879,ccBGSFO4046_GunnerCaroni,NPC_,-66824.039062,-126081.4375,4561.59668,79.2508
1791895,ccBGSFO4046-TesCan.esl,FE00600C,FE00683A,ccBGSFO4046_GunnerFour,NPC_,-66286.398437,-125901.734375,4536.625977,177.617
1791896,ccBGSFO4046-TesCan.esl,FE00600B,FE006839,ccBGSFO4046_GunnerThree,NPC_,-53919.839844,-111213.867187,4444.605469,127.5528
1791897,ccBGSFO4046-TesCan.esl,FE00600A,FE006837,ccBGSFO4046_GunnerTwo,NPC_,-61033.941406,-100765.234375,3862.27002,126.0509
1791898,ccBGSFO4046-TesCan.esl,FE006009,FE006838,ccBGSFO4046_GunnerOne,NPC_,-38592.742188,-100241.375,2287.465088,189.0761
