id,source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
1789948,ccBGSFO4115-X02.esl,FE001975,FE001972,ccBGSFO4115_RadioReceiverFake,STAT,25687.404297,38454.363281,1980.66333,261.963
1789949,ccBGSFO4115-X02.esl,FE001974,FE001972,ccBGSFO4115_RadioReceiverFake,STAT,26180.568359,38410.367188,2046.096436,0.0
1789950,ccBGSFO4115-X02.esl,FE001973,FE001972,ccBGSFO4115_RadioReceiverFake,STAT,25365.085938,38892.480469,1945.319458,302.7335
1789951,ccBGSFO4115-X02.esl,FE001841,FE001812,ccBGSFO4115_Remnant,NPC_,26265.859375,38295.628906,1907.572144,166.1578
1789952,ccBGSFO4115-X02.esl,FE001840,FE001804,ccBGSFO4115_BlackDevilRadioReceiver,ACTI,26112.423828,39040.082031,1933.580078,53.2394
1789953,ccBGSFO4115-X02.esl,FE001842,FE001812,ccBGSFO4115_Remnant,NPC_,26159.439453,38807.015625,1933.219238,0.0
1789954,ccBGSFO4115-X02.esl,FE001A85,00002CE2,PatrolIdleMarker,IDLM,25677.648438,38652.152344,1933.038452,80.2141
1789955,ccBGSFO4115-X02.esl,FE001A82,00002CE2,PatrolIdleMarker,IDLM,26362.138672,39037.714844,1908.28064,80.2141
1789956,ccBGSFO4115-X02.esl,FE001A80,00002CE2,PatrolIdleMarker,IDLM,26079.083984,38473.523438,1924.943848,80.2141
1789957,ccBGSFO4115-X02.esl,FE001A83,0000003B,XMarker,STAT,26162.025391,38848.585938,1956.649902,0.0
1789958,ccBGSFO4115-X02.esl,FE001977,FE001976,ccBGSFO4115_BlackDevilRadioReceiver_America,ACTI,-4304.415039,-48501.308594,2675.571289,0.0
1789959,ccBGSFO4115-X02.esl,FE00183F,FE001803,ccBGSFO4115_RadioTransmitter,ACTI,-4257.184082,-48923.667969,2740.664307,0.0
1789960,ccBGSFO4115-X02.esl,FE00183E,0000003B,XMarker,STAT,-4209.512695,-48594.875,2676.664307,0.0
