id,source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
1790155,ccBGSFO4116-HeavyFlamer.esl,FE00286E,FE00286D,ccBGSFO4116_AMBIntIndustrialSaugusSpotMoltenPool3DLPmarker,SOUN,2619.892334,3799.957031,438.633698,0.0
1790156,ccBGSFO4116-HeavyFlamer.esl,FE002FFD,FE002FFA,ccBGSFO4116_FlamerTrigger,ACTI,3243.983398,5118.129883,270.093414,0.0
1790157,ccBGSFO4116-HeavyFlamer.esl,FE002FFB,FE002FFA,ccBGSFO4116_FlamerTrigger,ACTI,3217.997559,5112.709961,270.093414,0.0
1790158,ccBGSFO4116-HeavyFlamer.esl,FE002863,00023A0D,SteamTPipeTiny1Way06,STAT,3098.10498,5210.164551,311.974152,356.5903
1790159,ccBGSFO4116-HeavyFlamer.esl,FE002862,00023A0D,SteamTPipeTiny1Way06,STAT,3114.783203,5054.52002,311.974152,183.7074
1790160,ccBGSFO4116-HeavyFlamer.esl,FE002861,00023A0D,SteamTPipeTiny1Way06,STAT,3089.022949,5024.463867,302.016846,0.0
1790161,ccBGSFO4116-HeavyFlamer.esl,FE002860,00023A0D,SteamTPipeTiny1Way06,STAT,3071.875,4831.592773,311.974152,354.9061
1790162,ccBGSFO4116-HeavyFlamer.esl,FE00285F,00023A0C,SteamTPipeTiny1Way05,STAT,3072.556152,5049.152832,274.844727,0.0
1790163,ccBGSFO4116-HeavyFlamer.esl,FE00285E,00023A0B,SteamTPipeTiny1Way04,STAT,3033.296631,4870.710938,324.269897,183.7716
1790164,ccBGSFO4116-HeavyFlamer.esl,FE00285D,00023A0A,SteamTPipeTiny1Way03,STAT,3024.107422,4831.598633,309.186035,353.7132
1790165,ccBGSFO4116-HeavyFlamer.esl,FE00285C,00023A10,SteamTPipeTiny1Way02,STAT,3090.530518,5235.629395,285.885925,0.0
1790166,ccBGSFO4116-HeavyFlamer.esl,FE00285B,00023A0F,SteamTPipeTiny1Way01,STAT,3066.937744,5205.15625,291.281433,0.0
1790167,ccBGSFO4116-HeavyFlamer.esl,FE00285A,0008B675,SkeletonBareBody01,MSTT,3045.452393,5231.19873,242.363815,318.9299
1790168,ccBGSFO4116-HeavyFlamer.esl,FE002859,0008B675,SkeletonBareBody01,MSTT,3051.361572,5025.474609,268.349792,44.8735
1790169,ccBGSFO4116-HeavyFlamer.esl,FE002858,00090E5E,ShoppingBasket,MISC,3094.259277,5285.827148,226.917374,126.0507
1790170,ccBGSFO4116-HeavyFlamer.esl,FE002857,0007C5BD,RaiderDismemberedHead05,STAT,3090.729248,5025.262695,292.067535,291.2451
1790171,ccBGSFO4116-HeavyFlamer.esl,FE002856,0007C5B4,RaiderDismemberedHead04,STAT,3034.745361,4868.672852,319.518768,302.7044
1790172,ccBGSFO4116-HeavyFlamer.esl,FE002855,0007C5AF,RaiderDismemberedHead03,STAT,3092.066162,5235.42334,281.992096,268.3268
