id,source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
1790224,ccFSVFO4007-Halloween.esl,FE00579E,0015CC87,CarpetRectangle01,STAT,1717.044189,2557.123535,311.101257,355.0009
1790225,ccFSVFO4007-Halloween.esl,FE005784,00076B55,BldWoodBBgWallPlugBBotDblDoor01,STAT,1587.444214,2544.30127,312.0,355.0009
1790226,ccFSVFO4007-Halloween.esl,FE00578E,001FA262,defaultLightCandle01FlickerNSGoboBounce01,LIGH,1722.848999,2504.170898,414.8284,0.0001
1790227,ccFSVFO4007-Halloween.esl,FE00578D,0003A32A,defaultLightCandle01FlickerNS,LIGH,1686.354248,2381.860596,324.387268,0.0
1790228,ccFSVFO4007-Halloween.esl,FE00578C,FE005351,ccFSVFO4007_PlasticJackOLantern01Static,STAT,1685.324829,2380.196533,310.187225,252.1015
1790229,ccFSVFO4007-Halloween.esl,FE00578B,001D4132,LooseBoard04,MSTT,1766.819458,2418.953125,317.798462,273.5476
1790230,ccFSVFO4007-Halloween.esl,FE00578A,001D4131,LooseBoard03,MSTT,1728.729858,2423.459961,315.474731,250.5973
1790231,ccFSVFO4007-Halloween.esl,FE005789,001D4130,LooseBoard02,MSTT,1754.917603,2526.699463,316.323059,61.4903
1790232,ccFSVFO4007-Halloween.esl,FE005788,001D412F,LooseBoard01,MSTT,1727.392456,2536.473145,313.115479,107.3504
1790233,ccFSVFO4007-Halloween.esl,FE005787,000D4461,BldDecoSmFlrOnlyRailBase1Way01,STAT,1603.422241,2544.701416,486.94696,175.0009
1790234,ccFSVFO4007-Halloween.esl,FE005786,00032113,DecoLobbyA1x1ColumnCor01,STAT,1567.342407,2646.054688,233.27655,175.0009
1790235,ccFSVFO4007-Halloween.esl,FE005785,00032113,DecoLobbyA1x1ColumnCor01,STAT,1587.618652,2441.422119,233.27655,265.0009
1790236,ccFSVFO4007-Halloween.esl,FE005783,0001D931,BldWoodPDbDoorLoad01,DOOR,1587.444214,2544.30127,312.0,355.0009
1790237,ccFSVFO4007-Halloween.esl,FE005013,0001B7BB,BldWoodPMdWallPlugBBotDblDoor01,STAT,-2448.0,2192.0,264.0,180.0
1790238,ccFSVFO4007-Halloween.esl,FE00581E,00023477,BounceAmbPurple,LIGH,-1144.282104,1602.976318,504.814178,0.0
1790239,ccFSVFO4007-Halloween.esl,FE00581D,FE005819,ccFSVFO4007_SpiderWebLight02Static,STAT,-1136.636597,1567.521484,506.414551,180.0
1790240,ccFSVFO4007-Halloween.esl,FE00581C,00064902,InstituteLightOrange01NSNonSpec,LIGH,-2049.993896,1896.084717,390.40097,0.0
1790241,ccFSVFO4007-Halloween.esl,FE00581B,00064902,InstituteLightOrange01NSNonSpec,LIGH,-2113.396973,1828.293945,424.528412,0.0
1790242,ccFSVFO4007-Halloween.esl,FE00581A,FE005818,ccFSVFO4007_SpiderWebLight01Static,STAT,-2112.446045,1810.793335,429.294739,180.0
1790243,ccFSVFO4007-Halloween.esl,FE005012,0015799C,BookBurnt01,MISC,-2224.0,2304.0,336.0,315.6381
1790244,ccFSVFO4007-Halloween.esl,FE005812,00101187,defaultLightWarm02NSNonSpec,LIGH,-856.117737,124.458328,399.219147,0.0
1790245,ccFSVFO4007-Halloween.esl,FE0054A5,00082E0A,BldBrickSmCeilOnly01,STAT,-400.0,2704.0,265.999969,90.0
1790246,ccFSVFO4007-Halloween.esl,FE0050A1,0015CC85,CarpetEdging07,STAT,-1076.328003,2128.817627,264.150726,270.0001
1790247,ccFSVFO4007-Halloween.esl,FE005257,0015CC83,CarpetEdging05,STAT,-951.930664,2129.386719,264.434326,270.0001
1790248,ccFSVFO4007-Halloween.esl,FE005011,0010693D,Rubble_Flat_Trash_Sm03,STAT,-2144.0,1904.0,272.0,90.0
1790249,ccFSVFO4007-Halloween.esl,FE00580E,000787D9,Clothes_Raider_Goggles,ARMO,-521.96405,189.253357,328.0,137.5099
1790250,ccFSVFO4007-Halloween.esl,FE0053D6,0001D1BA,DebrisPile03Trash,STAT,-425.954712,2648.0,264.0,90.0
1790251,ccFSVFO4007-Halloween.esl,FE005010,0008B618,TrashEdge04,STAT,-2149.02832,2364.10498,264.255493,33.5409
1790252,ccFSVFO4007-Halloween.esl,FE00580D,FE00580C,ccFSVFO4007_HelmetNotes,BOOK,-490.14093,190.511932,327.62561,22.8841
