id,source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
1791899,ccSBJFO4003-Grenade.esl,FE0072CC,0003251F,DefaultSetStageTriggerPlayerOnly,ACTI,-8750.428711,6734.892578,1856.977783,9.8563
1791900,ccSBJFO4003-Grenade.esl,FE00717E,00059A77,BaseballGlove,MISC,-8742.3125,6815.618652,1416.397217,178.6547
1791901,ccSBJFO4003-Grenade.esl,FE00717D,00059B25,Wonderglue,MISC,-8732.009766,6800.73877,1456.896362,0.0
1791902,ccSBJFO4003-Grenade.esl,FE00715A,00060E78,DuctTapeMilitary,MISC,-8759.660156,6838.13623,1458.219849,0.0
1791903,ccSBJFO4003-Grenade.esl,FE007158,0004D1F7,Wrench03,MISC,-8754.169922,6799.138184,1456.896362,239.6789
1791904,ccSBJFO4003-Grenade.esl,FE007157,00107BD6,BaseballGrenade,WEAP,-8727.84375,6834.94043,1459.004028,0.0
1791905,ccSBJFO4003-Grenade.esl,FE007156,00107BD6,BaseballGrenade,WEAP,-8744.390625,6839.847168,1459.004028,0.0
1791906,ccSBJFO4003-Grenade.esl,FE007154,001BA3A0,HamRadioOFF,ACTI,-8319.292969,6947.420898,1456.896362,91.6732
1791907,ccSBJFO4003-Grenade.esl,FE007153,00064A47,Loot_DuffleBag_Guns,CONT,-8816.375977,6747.969727,1392.771362,302.7043
1791908,ccSBJFO4003-Grenade.esl,FE007143,0017E787,workbenchWeaponsB,FURN,-8527.03418,6497.97168,1382.365845,114.5916
1791909,ccSBJFO4003-Grenade.esl,FE00713E,0000463F,AssaultRifle,WEAP,-8602.282227,6946.537109,1530.52063,289.938
1791910,ccSBJFO4003-Grenade.esl,FE00713D,0014831C,CombatShotgun,WEAP,-8632.001953,6959.055664,1505.626465,111.5916
1791911,ccSBJFO4003-Grenade.esl,FE007139,00024F55,PipeGun,WEAP,-8649.356445,6963.645508,1491.339844,111.6281
1791912,ccSBJFO4003-Grenade.esl,FE00713C,0004F46A,HuntingRifle,WEAP,-8654.805664,6967.43457,1513.41394,110.8986
1791913,ccSBJFO4003-Grenade.esl,FE00713B,000B3622,DummyNoEdit_Ammo_HuntingRifle,MISC,-8666.47168,6937.015137,1453.734497,216.7606
1791914,ccSBJFO4003-Grenade.esl,FE00713A,000B3628,DummyNoEdit_Ammo_AssaultRifle,MISC,-8692.208984,6940.893555,1449.432007,0.0
1791915,ccSBJFO4003-Grenade.esl,FE007138,000E56C2,fragMine,WEAP,-8616.109375,6921.210449,1448.934814,0.0
1791916,ccSBJFO4003-Grenade.esl,FE007137,000EEBED,fragGrenade,WEAP,-8606.560547,6910.572266,1453.299927,0.0
