id,source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
1792889,unofficial fallout 4 patch.esp,0707C542,060108C2,GrassMoundHalves02_ValleyDirt_DLC04,STAT,-13927.263672,-22733.294922,349.859436,64.0
1792890,unofficial fallout 4 patch.esp,0707C541,060108C4,GrassMoundSmall01_ValleyDirt_DLC04,STAT,-13786.927734,-23260.650391,375.937531,0.0
1792891,unofficial fallout 4 patch.esp,0707C540,060108C4,GrassMoundSmall01_ValleyDirt_DLC04,STAT,-13759.056641,-23329.394531,386.972534,0.0
1792892,unofficial fallout 4 patch.esp,0707C53F,060108C5,GrassMoundSmall02_ValleyDirt_DLC04,STAT,-13714.606445,-23440.548828,399.721375,245.0
1792893,unofficial fallout 4 patch.esp,0707C53E,060108C4,GrassMoundSmall01_ValleyDirt_DLC04,STAT,-13676.332031,-23503.681641,395.988556,0.0
1792894,unofficial fallout 4 patch.esp,0707C53D,0601090F,GrassMoundFull02_ValleyDirt_DLC04,STAT,-6850.276367,-21400.353516,385.528442,288.0
1792895,unofficial fallout 4 patch.esp,0701A1F3,0008954A,TrashClump01,STAT,-1544.126953,-7196.664062,460.035797,344.0732
1792896,unofficial fallout 4 patch.esp,0701A1F2,0008954A,TrashClump01,STAT,-912.947388,-6151.468262,422.653107,0.0
1792897,unofficial fallout 4 patch.esp,0701A1F1,0008B617,TrashPileWall03,STAT,-1043.307983,-6181.598633,440.921417,0.0
1792898,unofficial fallout 4 patch.esp,0701A1F0,0008954A,TrashClump01,STAT,-979.727722,-6144.547852,423.25946,0.0
1792899,unofficial fallout 4 patch.esp,0707C53C,0600C5EF,DLC04_MudMound01_ValleyDirt,STAT,-12035.517578,-36972.636719,403.757202,80.0
1792900,unofficial fallout 4 patch.esp,0707C53B,0600C5EF,DLC04_MudMound01_ValleyDirt,STAT,-12238.235352,-36726.648438,402.640228,11.0
1792901,unofficial fallout 4 patch.esp,07009280,0003AA23,RockM03,STAT,-38394.8125,-20912.855469,958.469116,0.0
1792902,unofficial fallout 4 patch.esp,0707C545,06055967,GrassMoundHalves07_DLC04,STAT,-33254.53125,-32037.585937,598.910828,320.0
1792903,unofficial fallout 4 patch.esp,0707C544,06055967,GrassMoundHalves07_DLC04,STAT,-33077.230469,-31848.007812,597.699585,320.0
1792904,unofficial fallout 4 patch.esp,0707C543,06055967,GrassMoundHalves07_DLC04,STAT,-32943.78125,-31665.169922,602.083313,303.0
1792905,unofficial fallout 4 patch.esp,07027E5C,0008954A,TrashClump01,STAT,3223.08252,-18221.009766,484.578491,80.0
1792906,unofficial fallout 4 patch.esp,07027E5B,0008954A,TrashClump01,STAT,3132.83374,-18266.755859,471.358765,80.0
1792907,unofficial fallout 4 patch.esp,0701A1F4,0008B5F5,TrashPileWall02,STAT,3621.955566,-5397.701172,438.020325,315.924
1792908,unofficial fallout 4 patch.esp,0700D582,001606DA,NCA1x1TrimB01,STAT,4417.625488,-6677.319336,813.049988,268.35
1792909,unofficial fallout 4 patch.esp,0700D581,001606DA,NCA1x1TrimB01,STAT,4425.016113,-6933.169922,813.049988,268.35
