source_file,ref_formid,base_formid,base_editorid,base_signature,pos_x,pos_y,pos_z,rot_z
unofficial fallout 4 patch.esp,06054506,0000463F,AssaultRifle,WEAP,-429.922791,-18248.830078,532.292786,357.9217
unofficial fallout 4 patch.esp,0605450A,00004822,10mm,WEAP,-257.531281,-18343.953125,529.115356,91.2439
unofficial fallout 4 patch.esp,06054511,0004F46A,HuntingRifle,WEAP,-411.787354,-18242.019531,531.022095,352.9107
unofficial fallout 4 patch.esp,06054514,001340D3,NpcBedMetalLay01,FURN,-334.948364,-17786.169922,480.018555,39.6907
unofficial fallout 4 patch.esp,06054517,00038C23,Loot_Raider_Toolcase_Guns,CONT,-542.268494,-18028.429688,524.490295,220.1526
unofficial fallout 4 patch.esp,0605451C,00038C21,Loot_Raider_ExplosivesBox,CONT,-580.174072,-18093.986328,473.865143,310.6906
unofficial fallout 4 patch.esp,06054528,00060CB4,Loot_AmmoBox,CONT,-671.032043,-18183.363281,472.025452,299.2209
unofficial fallout 4 patch.esp,0605452B,00173F01,SmithingToolSaw02,MISC,-700.214355,-18395.443359,530.189148,332.4090
unofficial fallout 4 patch.esp,0605466B,00060CB4,Loot_AmmoBox,CONT,-469.855713,-18289.478516,527.462097,345.1030
unofficial fallout 4 patch.esp,0605466D,0017B3A4,workbenchWeaponsA,FURN,-666.534058,-18414.585938,472.691559,291.8179
unofficial fallout 4 patch.esp,06054A58,000A8AB1,PlasticPumpkin,MISC,3107.254150,-18271.107422,480.446747,20.3653
unofficial fallout 4 patch.esp,06054B3E,000366BC,SquirrelBits,ALCH,277.389801,-18513.152344,519.844360,0.0005
unofficial fallout 4 patch.esp,06054B3F,000366BC,SquirrelBits,ALCH,273.262054,-18495.875000,519.842896,341.9753
unofficial fallout 4 patch.esp,06054B42,000330FD,IguanaBits,ALCH,293.529846,-18554.507812,518.508179,278.7784
unofficial fallout 4 patch.esp,06054B43,000330FD,IguanaBits,ALCH,300.567230,-18540.970703,518.509155,270.0000
unofficial fallout 4 patch.esp,06054B54,0001F90A,TinCan01,MISC,557.817810,-18821.904297,520.598877,2.6525
unofficial fallout 4 patch.esp,06054B55,0001F90A,TinCan01,MISC,540.378967,-18808.802734,520.594666,0.5180
unofficial fallout 4 patch.esp,06054B56,0001F908,TinCan02,MISC,549.812378,-18817.107422,520.637756,358.9115
unofficial fallout 4 patch.esp,06054B57,0001F909,TinCan03,MISC,548.488586,-18808.662109,520.654053,359.7009
unofficial fallout 4 patch.esp,06054B64,0001F908,TinCan02,MISC,636.432129,-17490.410156,507.047516,0.0001
unofficial fallout 4 patch.esp,06054B6A,000670B1,Loot_Prewar_ToolBox,CONT,626.790405,-17484.369141,539.307190,90.4577
unofficial fallout 4 patch.esp,06054B6E,0004835F,NukaColaQuantum,ALCH,565.847656,-17656.306641,484.707092,150.4577
unofficial fallout 4 patch.esp,06054B6F,0004835D,NukaCola,ALCH,435.680023,-17452.199219,616.859680,150.4577
unofficial fallout 4 patch.esp,06054B70,06024536,DLC04_NukaCola_Dark,ALCH,501.607269,-17449.812500,616.859680,210.4577
unofficial fallout 4 patch.esp,06054B71,06024534,DLC04_NukaCola_Grape,ALCH,449.594055,-17449.074219,616.859680,135.4578
unofficial fallout 4 patch.esp,06054B72,0004835D,NukaCola,ALCH,414.601288,-17448.501953,616.859680,180.4577
unofficial fallout 4 patch.esp,06054B7A,0015E8F6,ToyTruck01,MISC,286.131104,-17579.777344,528.922485,204.4419
unofficial fallout 4 patch.esp,06054B7B,00059B44,Scissors,MISC,1392.298218,-18209.273438,528.833923,278.8625
unofficial fallout 4 patch.esp,06054B7C,00059B43,Scalpel,MISC,1620.974487,-18233.199219,537.726807,85.9435
unofficial fallout 4 patch.esp,06054B7E,0005A0D3,Lightbulb,MISC,255.220306,-17590.859375,540.220642,25.6291
unofficial fallout 4 patch.esp,06054B7F,0005A0D3,Lightbulb,MISC,266.654938,-17588.335938,536.852356,349.4346
